task	algo	seed	win	n_windows	rho_all	rho_early	rho_mid	rho_late	frac_late_nonneg	global_rho	global_len_rho	mean_zvf
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	8	33	-0.2034	-0.2749	-0.0598	-0.2755	0.1818	0.7845	-0.5031	0.8125
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	10	31	-0.1795	-0.2477	-0.0484	-0.2368	0.0	0.7845	-0.5031	0.8125
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	12	29	-0.1642	-0.2663	0.0067	-0.2206	0.1818	0.7845	-0.5031	0.8125
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	8	23	-0.6477	-0.7327	-0.6429	-0.5852	0.0	0.1824	-0.8643	0.304167
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	10	21	-0.6211	-0.6546	-0.6518	-0.5568	0.0	0.1824	-0.8643	0.304167
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	12	19	-0.5995	-0.6244	-0.6871	-0.503	0.0	0.1824	-0.8643	0.304167
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	8	23	-0.4591	-0.4958	-0.6775	-0.2606	0.2222	-0.1334	-0.7157	0.333333
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	10	21	-0.4423	-0.4682	-0.5996	-0.2592	0.1429	-0.1334	-0.7157	0.333333
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	12	19	-0.4474	-0.4711	-0.6358	-0.2655	0.0	-0.1334	-0.7157	0.333333
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	8	23	-0.7414	-0.5711	-0.7319	-0.8813	0.0	0.0878	-0.285	0.366667
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	10	21	-0.7593	-0.6096	-0.8081	-0.8603	0.0	0.0878	-0.285	0.366667
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	12	19	-0.7763	-0.6333	-0.8298	-0.8529	0.0	0.0878	-0.285	0.366667
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	8	23	-0.6239	-0.7438	-0.4079	-0.6985	0.0	0.1133	-0.4456	0.320833
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	10	21	-0.619	-0.7146	-0.4366	-0.7056	0.0	0.1133	-0.4456	0.320833
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	12	19	-0.6102	-0.6924	-0.5521	-0.5897	0.0	0.1133	-0.4456	0.320833
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	8	23	-0.6227	-0.6248	-0.8316	-0.4585	0.0	-0.0685	-0.5519	0.35
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	10	21	-0.6477	-0.74	-0.7575	-0.4455	0.0	-0.0685	-0.5519	0.35
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	12	19	-0.669	-0.7769	-0.7608	-0.4979	0.0	-0.0685	-0.5519	0.35
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	8	23	-0.647	-0.3046	-0.6459	-0.9142	0.0	0.0312	-0.0674	0.391667
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	10	21	-0.6857	-0.3638	-0.774	-0.9191	0.0	0.0312	-0.0674	0.391667
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	12	19	-0.7075	-0.3915	-0.7872	-0.9101	0.0	0.0312	-0.0674	0.391667
