model	params_B	arch	family	n_steps	r_first	r_final	r_mean	r_peak	r_var	early_mean	late_mean	zero_frac	frac_above_0p5	delta_first_final	delta_late_early	c1	c2	c3	c4	RQS
Qwen3.5-4B	4.0	dense	qwen	30	1.0000	1.0000	0.8167	1.0000	0.0463	0.8125	0.8500	0.0000	0.8333	+0.0000	+0.0375	0.4630	0.8333	0.8607	1.0000	0.7591
Qwen3-8B	8.0	dense	qwen	30	0.3750	0.1875	0.2854	0.6250	0.0288	0.2437	0.3438	0.0667	0.1000	+0.1875	+0.1000	0.2880	0.1000	0.6250	0.8666	0.3534
Llama-3.1-8B-Instruct	8.0	dense	llama	30	1.0000	1.0000	0.8688	1.0000	0.0267	0.9250	0.8438	0.0000	0.9333	+0.0000	-0.0813	0.2670	0.9333	0.6536	1.0000	0.6353
Qwen3-32B	32.0	dense	qwen	3	0.3120	0.1250	0.2497	0.3120	0.0078	0.3120	0.2185	0.0000	0.0000	+0.1870	-0.0935	0.0780	0.0000	0.3120	1.0000	0.0000
Qwen3.5-27B	27.0	dense	qwen	3	0.5620	0.0000	0.4373	0.7500	0.1015	0.6560	0.3750	0.3333	0.6667	+0.5620	-0.2810	1.0000	0.6667	0.7500	0.3334	0.6390
gpt-oss-20B	20.0	moe	gpt-oss	30	0.6250	1.0000	0.8396	1.0000	0.0372	0.8063	0.8750	0.0000	0.8667	-0.3750	+0.0687	0.3720	0.8667	0.7715	1.0000	0.7062
Qwen3-30B-MoE	30.0	moe	qwen	5	0.1880	0.4380	0.3252	0.5000	0.0288	0.3130	0.4690	0.0000	0.0000	-0.2500	+0.1560	0.2880	0.0000	0.5000	1.0000	0.0000
Qwen3-30B-MoE-Inst	30.0	moe	qwen	3	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	+0.0000	+0.0000	0.0000	1.0000	0.0000	1.0000	0.0000
DeepSeek-V3.1	685.0	moe	deepseek	20	0.8750	1.0000	0.8438	1.0000	0.0186	0.8333	0.8125	0.0000	0.9500	-0.1250	-0.0208	0.1860	0.9500	0.5455	1.0000	0.5572
Nemotron-120B	120.0	dense	nemotron	20	0.0000	0.5000	0.1750	0.8750	0.0600	0.1458	0.2083	0.5500	0.0500	-0.5000	+0.0625	0.6000	0.0500	0.8750	0.0000	0.0000
Qwen3-235B-MoE	235.0	moe	qwen	4	1.0000	1.0000	1.0000	1.0000	0.0000	1.0000	1.0000	0.0000	1.0000	+0.0000	+0.0000	0.0000	1.0000	0.0000	1.0000	0.0000
Kimi-K2-Thinking	1000.0	moe	kimi	20	1.0000	0.7500	0.8500	1.0000	0.0291	0.9375	0.7500	0.0000	0.9000	+0.2500	-0.1875	0.2910	0.9000	0.6823	1.0000	0.6502
