metric	seed_used	kendall_tau_vs_full	compute_frac
heldout	42	0.0	0.3333
heldout	123	1.0	0.3333
heldout	456	0.3333	0.3333
heldout	MEAN	0.4444	0.3333
last10	42	1.0	0.3333
last10	123	0.6667	0.3333
last10	456	0.3333	0.3333
last10	MEAN	0.6667	0.3333
