model	params_B	R_max_observed_2p	RQS	ACI_proxy	R_max_policy_decomp	zero_frac	frac_above_0p5	policy_share_2p	aci_share_2p
Qwen3.5-4B	4.0	0.8167	0.7591	0.9110314834347691	1.0	0.0	0.8333	0.5182764310191649	0.4817235689808351
Llama-3.1-8B-Instruct	8.0	0.8688	0.6353	0.9595389061734605	1.0	0.0	0.9333	0.5776211688052656	0.4223788311947344
DeepSeek-V3.1	685.0	0.8438	0.5572	0.9707034257134773	1.0	0.0	0.95	0.6022840827980014	0.39771591720199856
Qwen3-8B	8.0	0.2854	0.3534	0.4338617070900978	0.8075834748160724	0.0667	0.1	0.4467752035065748	0.5532247964934252
Nemotron-120B	120.0	0.182	0.0	0.13005914468513874		0.55	0.05		
