seed	step	p_sparse	p_dense	p_dense_minus_p_sparse
0	0	0.0000	0.0000	+0.0000
0	1	0.0000	0.0000	+0.0000
0	2	0.2500	0.2500	+0.0000
0	3	0.0000	0.0000	+0.0000
0	4	0.0000	0.2250	+0.2250
1	0	0.1250	0.3375	+0.2125
1	1	0.1250	0.3125	+0.1875
1	2	0.2500	0.3625	+0.1125
1	3	0.2500	0.2500	+0.0000
1	4	0.1250	0.1250	+0.0000
