metric_id	pillar	var_between	var_within	icc	m_bar	deff	n_eff
P1_grpo_last10	P1	0.000132	0.000897	0.1279	10.0	2.151	23.25
P1_ppo_last10	P1	0.011856	0.004886	0.7081	10.0	7.373	6.78
P3_reward_G2	P3	0.0	0.049816	0.0	40.0	1.0	120.0
P3_reward_G16	P3	0.0	0.043219	0.0	40.0	1.0	120.0
P3_zvf_G2	P3	0.0	0.035915	0.0	40.0	1.0	120.0
P3_zvf_G16	P3	0.0	0.143076	0.0	40.0	1.0	120.0
P4_bfcl_dense	P4	0.014052	0.013008	0.5193	5.0	3.077	3.25
P4_bfcl_sparse	P4	0.006094	0.008594	0.4149	5.0	2.66	3.76
