group_size	seed	rho_M_zvf
2	42	0.9572
2	123	0.9333
2	456	0.9226
4	42	0.9668
4	123	0.9329
4	456	0.9224
8	42	0.9420
8	123	0.9294
8	456	0.9168
16	42	0.8876
16	123	0.8691
16	456	0.8825
