run	sse_monotone	sse_ushape	monotone_wins
G2_s42	2.4511	7.7465	1
G2_s123	2.5526	7.2155	1
G2_s456	2.3415	8.9142	1
G4_s42	2.5526	7.2155	1
G4_s123	2.6625	6.6625	1
G4_s456	2.4511	7.7465	1
G8_s42	2.7724	6.1092	1
G8_s123	2.5526	7.2155	1
G8_s456	2.6293	7.2816	1
G16_s42	2.5526	7.2155	1
G16_s123	2.5526	7.2155	1
G16_s456	2.6625	6.6625	1
