T	acc_G32	acc_G64	delta_G32_G64	abs_delta	abs_delta_x_T_over_1e6
1000000	0.4200	0.3500	-0.0700	0.0700	0.070
4000000	0.6600	0.5800	-0.0800	0.0800	0.320
