k	pass_pow_k	naive_mu_pow_k	gap_pk_minus_naive	rel_excess	pass_at_k_bestof
1	0.67426	0.67426	0.0	0.0	0.67426
2	0.49152	0.45462	0.0369	0.0812	0.85699
3	0.37447	0.30653	0.06793	0.2216	0.92267
4	0.29374	0.20668	0.08706	0.4212	0.95202
5	0.23531	0.13936	0.09596	0.6886	0.96734
6	0.19153	0.09396	0.09756	1.0383	0.9763
7	0.15783	0.06335	0.09447	1.4912	0.982
8	0.13134	0.04272	0.08863	2.0747	0.98588
9	0.11018	0.0288	0.08138	2.8253	0.98865
10	0.09303	0.01942	0.07361	3.7903	0.99071
