method	seed	w	tree_zvf_proxy	zvf_naive_mean	heldout_acc_final
grpo	0	2	0.004174666666666668	0.48131	0.3814
grpo	0	5	0.014245383333333335	0.48131	0.3814
grpo	1	2	0.004850333333333333	0.479334	0.3854
grpo	1	5	0.016594133333333334	0.479334	0.3854
grpo	2	2	0.005520833333333333	0.48032400000000003	0.3836
grpo	2	5	0.0191187	0.48032400000000003	0.3836
grpo	3	2	0.004833166666666667	0.480633	0.3796
grpo	3	5	0.017071883333333333	0.480633	0.3796
grpo	4	2	0.004502333333333333	0.482381	0.384
grpo	4	5	0.01545555	0.482381	0.384
aero	0	2	0.0158795	0.221538	0.405
aero	0	5	0.02077595	0.221538	0.405
aero	1	2	0.014809	0.218538	0.4043
aero	1	5	0.02032738333333333	0.218538	0.4043
aero	2	2	0.014060999999999999	0.221876	0.4072
aero	2	5	0.01953338333333333	0.221876	0.4072
aero	3	2	0.013141499999999999	0.217755	0.4059
aero	3	5	0.01852163333333333	0.217755	0.4059
aero	4	2	0.015444	0.22155999999999998	0.4036
aero	4	5	0.022382266666666664	0.22155999999999998	0.4036
cppo	0	2	0.01359	0.29508500000000004	0.3958
cppo	0	5	0.018306449999999995	0.29508500000000004	0.3958
cppo	1	2	0.013751999999999997	0.298018	0.3947
cppo	1	5	0.019464566666666672	0.298018	0.3947
cppo	2	2	0.013926000000000001	0.29635100000000003	0.3978
cppo	2	5	0.019373549999999996	0.29635100000000003	0.3978
cppo	3	2	0.0148895	0.29455200000000004	0.3939
cppo	3	5	0.01961475	0.29455200000000004	0.3939
cppo	4	2	0.015138999999999998	0.291947	0.3986
cppo	4	5	0.01951675	0.291947	0.3986
ngrpo	0	2	0.0139585	0.303603	0.3881
ngrpo	0	5	0.019850616666666668	0.303603	0.3881
ngrpo	1	2	0.014123000000000002	0.302016	0.3981
ngrpo	1	5	0.01835633333333333	0.302016	0.3981
ngrpo	2	2	0.016266	0.299377	0.3889
ngrpo	2	5	0.020861600000000004	0.299377	0.3889
ngrpo	3	2	0.013468500000000001	0.297451	0.3941
ngrpo	3	5	0.019282850000000004	0.297451	0.3941
ngrpo	4	2	0.014453000000000002	0.299268	0.3962
ngrpo	4	5	0.02037405	0.299268	0.3962
scafgrpo	0	2	0.014688500000000002	0.31506900000000004	0.4124
scafgrpo	0	5	0.01888723333333333	0.31506900000000004	0.4124
scafgrpo	1	2	0.013314000000000001	0.31255900000000003	0.415
scafgrpo	1	5	0.01942901666666667	0.31255900000000003	0.415
scafgrpo	2	2	0.014146999999999998	0.313074	0.419
scafgrpo	2	5	0.019579149999999997	0.313074	0.419
scafgrpo	3	2	0.0148735	0.321604	0.4099
scafgrpo	3	5	0.021104183333333335	0.321604	0.4099
scafgrpo	4	2	0.0134875	0.320764	0.4096
scafgrpo	4	5	0.019358316666666663	0.320764	0.4096
mcgrpo	0	2	0.011931363636363638	0.13320636363636362	0.402
mcgrpo	0	5	0.01823027272727273	0.13320636363636362	0.402
mcgrpo	1	2	0.015712	0.15248	0.4047
mcgrpo	1	5	0.02141561666666667	0.15248	0.4047
mcgrpo	2	2	0.013836999999999999	0.14994	0.4053
mcgrpo	2	5	0.018421049999999994	0.14994	0.4053
mcgrpo	3	2	0.013312	0.144115	0.3998
mcgrpo	3	5	0.019482133333333332	0.144115	0.3998
mcgrpo	4	2	0.015630500000000002	0.150529	0.4018
mcgrpo	4	5	0.021149849999999998	0.150529	0.4018
gift	0	2	0.011689545454545458	0.10528545454545454	0.4153
gift	0	5	0.01844872727272727	0.10528545454545454	0.4153
gift	1	2	0.013172499999999998	0.117643	0.4081
gift	1	5	0.01984453333333333	0.117643	0.4081
gift	2	2	0.013691499999999999	0.11569900000000001	0.4083
gift	2	5	0.02005511666666667	0.11569900000000001	0.4083
gift	3	2	0.012474999999999997	0.11507099999999999	0.41
gift	3	5	0.017930783333333335	0.11507099999999999	0.41
gift	4	2	0.013523000000000002	0.117312	0.4042
gift	4	5	0.0204688	0.117312	0.4042
areal	0	2	0.012524090909090912	0.11178181818181818	0.4019
areal	0	5	0.01856777272727273	0.11178181818181818	0.4019
areal	1	2	0.013891500000000001	0.12319699999999999	0.4107
areal	1	5	0.018983716666666664	0.12319699999999999	0.4107
areal	2	2	0.013827999999999997	0.12151999999999999	0.4113
areal	2	5	0.018880183333333335	0.12151999999999999	0.4113
areal	3	2	0.012401999999999998	0.12387000000000001	0.408
areal	3	5	0.01933538333333333	0.12387000000000001	0.408
areal	4	2	0.0124815	0.124054	0.4029
areal	4	5	0.01938073333333333	0.124054	0.4029
es	0	2	0.013723181818181815	0.1055790909090909	0.3922
es	0	5	0.0184565	0.1055790909090909	0.3922
es	1	2	0.012904500000000001	0.115015	0.3922
es	1	5	0.01800035	0.115015	0.3922
es	2	2	0.017098	0.116312	0.3927
es	2	5	0.021241849999999996	0.116312	0.3927
es	3	2	0.015008500000000001	0.11506	0.3992
es	3	5	0.01950408333333333	0.11506	0.3992
es	4	2	0.014718000000000004	0.119093	0.3909
es	4	5	0.01965295	0.119093	0.3909
