g	all_wrong	all_correct	zvf	coverage	yield	coverage_share	saturation_share
2	0.130060	0.518393	0.648452	0.869940	0.351548	0.200569	0.799431
3	0.075119	0.397560	0.472679	0.924881	0.527321	0.158922	0.841078
4	0.053714	0.310262	0.363976	0.946286	0.636024	0.147576	0.852424
5	0.043631	0.245179	0.288810	0.956369	0.711190	0.151072	0.848928
6	0.038036	0.195476	0.233512	0.961964	0.766488	0.162886	0.837114
7	0.034375	0.156875	0.191250	0.965625	0.808750	0.179739	0.820261
8	0.031667	0.126667	0.158333	0.968333	0.841667	0.200000	0.800000
16	0.034524	0.157639	0.192162	0.965476	0.807838	0.179658	0.820342
32	0.031971	0.130059	0.162031	0.968029	0.837969	0.197317	0.802683
