G	source	Y_STaR	Y_GRPO	gap	gap_ci_lo	gap_ci_hi	ZVF	ZVF_hi	ZVF_lo	recoverable_frac	identity_err
2	subsample	0.869940	0.351548	0.518393	0.495298	0.542798	0.648452	0.518393	0.130060	0.799431	0.000000
4	subsample	0.946286	0.636024	0.310262	0.284833	0.336929	0.363976	0.310262	0.053714	0.852424	0.000000
8	subsample	0.968333	0.841667	0.126667	0.100000	0.155000	0.158333	0.126667	0.031667	0.800000	0.000000
16	param_px	0.965476	0.807838	0.157639	0.131686	0.185289	0.192162	0.157639	0.034524	0.820342	0.000000
32	param_px	0.968029	0.837969	0.130059	0.103508	0.158249	0.162031	0.130059	0.031971	0.802683	0.000000
