G	seed	conv_entry	grad_death	lag	learning_locus_step	locus_state	conv_adv_var_mean
2	42	14	18	4	3	0	0.5000
2	123	9	20	11	8	1	0.5161
2	456	7	16	9	2	0	0.6970
4	42	13	26	13	3	1	0.7407
4	123	9	16	7	4	1	0.6774
4	456	11	24	13	3	1	0.5862
8	42	12	20	8	3	1	0.5714
8	123	8	25	17	4	1	0.8437
8	456	11	25	14	4	1	0.7241
16	42	12	21	9	3	1	0.7857
16	123	8	25	17	2	0	0.8125
16	456	8	21	13	3	1	0.7187
