method	seed	w	zvf_naive_mean	tree_zvf_proxy	pearson_zvf_to_treeadv
grpo	0	2	0.48131	0.004174666666666668	0.01955340834303083
grpo	0	5	0.48131	0.014245383333333335	0.0364098459403775
grpo	1	2	0.479334	0.004850333333333333	0.010958621670694838
grpo	1	5	0.479334	0.016594133333333334	-0.0018925009646076625
grpo	2	2	0.48032400000000003	0.005520833333333333	0.021726294158035515
grpo	2	5	0.48032400000000003	0.0191187	0.03297025278153314
grpo	3	2	0.480633	0.004833166666666667	0.04779106964356585
grpo	3	5	0.480633	0.017071883333333333	0.11503368419714716
grpo	4	2	0.482381	0.004502333333333333	0.05360713701971505
grpo	4	5	0.482381	0.01545555	0.09244629137625882
aero	0	2	0.221538	0.0158795	-0.13347419618806067
aero	0	5	0.221538	0.02077595	-0.17306636135388903
aero	1	2	0.218538	0.014809	0.0515262842141865
aero	1	5	0.218538	0.02032738333333333	0.026929875732053514
aero	2	2	0.221876	0.014060999999999999	-0.057237584535298106
aero	2	5	0.221876	0.01953338333333333	-0.16828542483272918
aero	3	2	0.217755	0.013141499999999999	0.10941010006441837
aero	3	5	0.217755	0.01852163333333333	-0.0508156967775413
aero	4	2	0.22155999999999998	0.015444	0.14602793800798772
aero	4	5	0.22155999999999998	0.022382266666666664	-0.1829867431755454
cppo	0	2	0.29508500000000004	0.01359	0.06534879694814293
cppo	0	5	0.29508500000000004	0.018306449999999995	0.008608875755343868
cppo	1	2	0.298018	0.013751999999999997	0.32183958861117
cppo	1	5	0.298018	0.019464566666666672	0.07608927651884581
cppo	2	2	0.29635100000000003	0.013926000000000001	-0.15904864550188555
cppo	2	5	0.29635100000000003	0.019373549999999996	-0.230969743546446
cppo	3	2	0.29455200000000004	0.0148895	0.09998396314458537
cppo	3	5	0.29455200000000004	0.01961475	0.014258920871087362
cppo	4	2	0.291947	0.015138999999999998	0.11737404977587947
cppo	4	5	0.291947	0.01951675	-0.029055850648663055
ngrpo	0	2	0.303603	0.0139585	0.018258146561991945
ngrpo	0	5	0.303603	0.019850616666666668	-0.026349401195847718
ngrpo	1	2	0.302016	0.014123000000000002	0.010479798732210615
ngrpo	1	5	0.302016	0.01835633333333333	-0.10950084364064715
ngrpo	2	2	0.299377	0.016266	0.18261011723938458
ngrpo	2	5	0.299377	0.020861600000000004	-0.023408330569946696
ngrpo	3	2	0.297451	0.013468500000000001	-0.15089312198200633
ngrpo	3	5	0.297451	0.019282850000000004	-0.24105097619584964
ngrpo	4	2	0.299268	0.014453000000000002	0.0028771481122434636
ngrpo	4	5	0.299268	0.02037405	-0.1797261220599185
scafgrpo	0	2	0.31506900000000004	0.014688500000000002	0.05116676071380735
scafgrpo	0	5	0.31506900000000004	0.01888723333333333	-0.005961213815528576
scafgrpo	1	2	0.31255900000000003	0.013314000000000001	0.08299863509367912
scafgrpo	1	5	0.31255900000000003	0.01942901666666667	-0.00938913347787146
scafgrpo	2	2	0.313074	0.014146999999999998	-0.15347061544171092
scafgrpo	2	5	0.313074	0.019579149999999997	-0.17335228783991538
scafgrpo	3	2	0.321604	0.0148735	-0.26459326037869113
scafgrpo	3	5	0.321604	0.021104183333333335	-0.22872840805237551
scafgrpo	4	2	0.320764	0.0134875	0.0046421770728124695
scafgrpo	4	5	0.320764	0.019358316666666663	-0.015880175772143693
mcgrpo	0	2	0.13320636363636362	0.011931363636363638	0.1481752261812469
mcgrpo	0	5	0.13320636363636362	0.01823027272727273	0.053270252468264404
mcgrpo	1	2	0.15248	0.015712	0.16603137744782595
mcgrpo	1	5	0.15248	0.02141561666666667	-0.07215028285346342
mcgrpo	2	2	0.14994	0.013836999999999999	-0.239055533102851
mcgrpo	2	5	0.14994	0.018421049999999994	-0.2531391383768189
mcgrpo	3	2	0.144115	0.013312	0.03638631865292157
mcgrpo	3	5	0.144115	0.019482133333333332	-0.0072873797058831
mcgrpo	4	2	0.150529	0.015630500000000002	-0.056795919818034474
mcgrpo	4	5	0.150529	0.021149849999999998	-0.14222290277343388
gift	0	2	0.10528545454545454	0.011689545454545458	-0.07973998417750003
gift	0	5	0.10528545454545454	0.01844872727272727	0.03664965730685812
gift	1	2	0.117643	0.013172499999999998	0.00728613057603233
gift	1	5	0.117643	0.01984453333333333	-0.023164728656914768
gift	2	2	0.11569900000000001	0.013691499999999999	-0.05100917441923243
gift	2	5	0.11569900000000001	0.02005511666666667	-0.103516455926994
gift	3	2	0.11507099999999999	0.012474999999999997	0.2751162951492387
gift	3	5	0.11507099999999999	0.017930783333333335	0.013201284308308265
gift	4	2	0.117312	0.013523000000000002	0.035749635212184605
gift	4	5	0.117312	0.0204688	0.012355618674863579
areal	0	2	0.11178181818181818	0.012524090909090912	0.06643309995072828
areal	0	5	0.11178181818181818	0.01856777272727273	0.04523840475133716
areal	1	2	0.12319699999999999	0.013891500000000001	0.0441291331913008
areal	1	5	0.12319699999999999	0.018983716666666664	-0.0931623483776541
areal	2	2	0.12151999999999999	0.013827999999999997	0.2303761768596001
areal	2	5	0.12151999999999999	0.018880183333333335	0.04626678913336125
areal	3	2	0.12387000000000001	0.012401999999999998	-0.1583531954143813
areal	3	5	0.12387000000000001	0.01933538333333333	-0.15628476118510365
areal	4	2	0.124054	0.0124815	0.017749367443251056
areal	4	5	0.124054	0.01938073333333333	-0.08539168117837977
es	0	2	0.1055790909090909	0.013723181818181815	0.0406846577962826
es	0	5	0.1055790909090909	0.0184565	-0.06918127620171897
es	1	2	0.115015	0.012904500000000001	0.016368904776241023
es	1	5	0.115015	0.01800035	-0.07510289701533969
es	2	2	0.116312	0.017098	0.049693954630422546
es	2	5	0.116312	0.021241849999999996	-0.07606695109536428
es	3	2	0.11506	0.015008500000000001	0.2830708231934386
es	3	5	0.11506	0.01950408333333333	0.06538569729181928
es	4	2	0.119093	0.014718000000000004	0.01184463511891162
es	4	5	0.119093	0.01965295	-0.10113370907648472
