model	n_steps	params_B	family	R_max_2p	mean_reward	p_hat_pass1	p_lo95	p_hi95	ci_width95	K	pass_K
Qwen3.5-4B	30	4.0	dense	0.8167	0.8167	0.7666446863081823	0.6573349340129911	0.8627541900405755	0.20541925602758437	1	0.7666446863081823
Qwen3.5-4B	30	4.0	dense	0.8167	0.8167	0.7666446863081823	0.6573349340129911	0.8627541900405755	0.20541925602758437	2	0.9455452975717934
Qwen3.5-4B	30	4.0	dense	0.8167	0.8167	0.7666446863081823	0.6573349340129911	0.8627541900405755	0.20541925602758437	4	0.9970346853834554
Qwen3.5-4B	30	4.0	dense	0.8167	0.8167	0.7666446863081823	0.6573349340129911	0.8627541900405755	0.20541925602758437	8	0.9999912069092249
Qwen3.5-4B	30	4.0	dense	0.8167	0.8167	0.7666446863081823	0.6573349340129911	0.8627541900405755	0.20541925602758437	16	0.9999999999226815
Qwen3-8B	30	8.0	dense	0.2854	0.2854	0.41578237320972555	0.29455346556679535	0.5413357387873009	0.24678227322050555	1	0.41578237320972555
Qwen3-8B	30	8.0	dense	0.2854	0.2854	0.41578237320972555	0.29455346556679535	0.5413357387873009	0.24678227322050555	2	0.6586897645475396
Qwen3-8B	30	8.0	dense	0.2854	0.2854	0.41578237320972555	0.29455346556679535	0.5413357387873009	0.24678227322050555	4	0.883507323175386
Qwen3-8B	30	8.0	dense	0.2854	0.2854	0.41578237320972555	0.29455346556679535	0.5413357387873009	0.24678227322050555	8	0.986429456246236
Qwen3-8B	30	8.0	dense	0.2854	0.2854	0.41578237320972555	0.29455346556679535	0.5413357387873009	0.24678227322050555	16	0.9998158403422271
Llama-3.1-8B-Instruct	30	8.0	dense	0.8688	0.8688	0.8275727098756963	0.7517786463428557	0.8965729913550108	0.14479434501215505	1	0.8275727098756963
Llama-3.1-8B-Instruct	30	8.0	dense	0.8688	0.8688	0.8275727098756963	0.7517786463428557	0.8965729913550108	0.14479434501215505	2	0.9702688296203892
Llama-3.1-8B-Instruct	30	8.0	dense	0.8688	0.8688	0.8275727098756963	0.7517786463428557	0.8965729913550108	0.14479434501215505	4	0.9991160575078586
Llama-3.1-8B-Instruct	30	8.0	dense	0.8688	0.8688	0.8275727098756963	0.7517786463428557	0.8965729913550108	0.14479434501215505	8	0.9999992186456705
Llama-3.1-8B-Instruct	30	8.0	dense	0.8688	0.8688	0.8275727098756963	0.7517786463428557	0.8965729913550108	0.14479434501215505	16	0.9999999999993895
DeepSeek-V3.1	20	685.0	moe	0.8438	0.8438	0.8265228722132327	0.7004434194313136	0.9340472566392105	0.2336038372078969	1	0.8265228722132327
DeepSeek-V3.1	20	685.0	moe	0.8438	0.8438	0.8265228722132327	0.7004434194313136	0.9340472566392105	0.2336038372078969	2	0.9699056861348536
DeepSeek-V3.1	20	685.0	moe	0.8438	0.8438	0.8265228722132327	0.7004434194313136	0.9340472566392105	0.2336038372078969	4	0.999094332272986
DeepSeek-V3.1	20	685.0	moe	0.8438	0.8438	0.8265228722132327	0.7004434194313136	0.9340472566392105	0.2336038372078969	8	0.9999991797659682
DeepSeek-V3.1	20	685.0	moe	0.8438	0.8438	0.8265228722132327	0.7004434194313136	0.9340472566392105	0.2336038372078969	16	0.9999999999993272
Nemotron-120B	20	120.0	dense	0.182	0.175	0.21860433348927208	0.0811498038337379	0.3795016787640554	0.29835187493031745	1	0.2186043334892721
Nemotron-120B	20	120.0	dense	0.182	0.175	0.21860433348927208	0.0811498038337379	0.3795016787640554	0.29835187493031745	2	0.3894208123582553
Nemotron-120B	20	120.0	dense	0.182	0.175	0.21860433348927208	0.0811498038337379	0.3795016787640554	0.29835187493031745	4	0.6271930556187472
Nemotron-120B	20	120.0	dense	0.182	0.175	0.21860433348927208	0.0811498038337379	0.3795016787640554	0.29835187493031745	8	0.8610149822211135
Nemotron-120B	20	120.0	dense	0.182	0.175	0.21860433348927208	0.0811498038337379	0.3795016787640554	0.29835187493031745	16	0.9806831648330026
