run	group_size	pstar_Wfix
G2_s42	2	14
G2_s123	2	13
G2_s456	2	16
G4_s42	4	13
G4_s123	4	12
G4_s456	4	14
G8_s42	8	11
G8_s123	8	13
G8_s456	8	12
G16_s42	16	13
G16_s123	16	13
G16_s456	16	12
