G	seed	ent_explore	ent_consol	ent_conv	rew_explore	rew_consol	rew_conv	ent_mono	rew_mono
2	42	1.0325	0.5966	0.0582	0.2578	0.6906	0.9675	1	1
2	123	1.1395	0.7233	0.1232	0.2500	0.6071	0.9466	1	1
2	456	0.9541	0.7385	0.1819	0.3125	0.6042	0.9252	1	1
4	42	1.0479	0.5169	0.0477	0.2656	0.7453	0.9635	1	1
4	123	1.0268	0.5814	0.0695	0.3359	0.7500	0.9556	1	1
4	456	1.0413	0.5751	0.0763	0.3073	0.7246	0.9585	1	1
8	42	1.0473	0.4998	0.0283	0.2344	0.7465	0.9715	1	1
8	123	0.9654	0.5643	0.0793	0.3457	0.7227	0.9553	1	1
8	456	1.0965	0.5929	0.0578	0.3464	0.7539	0.9582	1	1
16	42	1.1405	0.5080	0.0258	0.2617	0.7409	0.9784	1	1
16	123	1.0792	0.6110	0.0676	0.2760	0.7008	0.9625	1	1
16	456	1.1139	0.6726	0.0757	0.2760	0.6727	0.9562	1	1
