task	algo	seed	win	tape_abs_rho	global_abs_rho	delta_tape_minus_global	tape_smaller	mean_zvf
arithmetic_easy_qwen2.5-0.5b	grpo	42	10	0.017	0.6236	-0.6066	1	0.825
arithmetic_easy_qwen2.5-0.5b	grpo	123	10	0.179	0.6639	-0.48490000000000005	1	0.810937
arithmetic_easy_qwen2.5-0.5b	grpo	456	10	0.1074	0.7987	-0.6913	1	0.809375
arithmetic_easy_qwen2.5-0.5b	grpo	789	10	0.29	0.7951	-0.5051000000000001	1	0.8125
arithmetic_easy_qwen2.5-0.5b	grpo	1024	10	0.273	0.6653	-0.3923	1	0.817187
arithmetic_easy_qwen2.5-0.5b	dr_grpo	42	10	0.2082	0.6266	-0.41840000000000005	1	0.770312
arithmetic_easy_qwen2.5-0.5b	dr_grpo	123	10	0.0219	0.8203	-0.7984	1	0.764062
arithmetic_easy_qwen2.5-0.5b	dr_grpo	456	10	0.2244	0.7665	-0.5421	1	0.746875
arithmetic_easy_qwen2.5-0.5b	dr_grpo	789	10	0.2196	0.7653	-0.5457	1	0.771875
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	10	0.1795	0.7845	-0.605	1	0.8125
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	10	0.6211	0.1824	0.4387	0	0.304167
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	10	0.4423	0.1334	0.30890000000000006	0	0.333333
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	10	0.7593	0.0878	0.6715	0	0.366667
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	10	0.619	0.1133	0.5057	0	0.320833
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	10	0.6477	0.0685	0.5792	0	0.35
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	10	0.6857	0.0312	0.6545	0	0.391667
