group_size	seed	mean_entropy	heldout_acc
2	42	0.2902	0.9900
2	123	0.2790	0.9750
2	456	0.3009	0.9800
4	42	0.2400	0.9900
4	123	0.2292	0.9900
4	456	0.2484	0.9850
8	42	0.2108	0.9850
8	123	0.2164	0.9950
8	456	0.2428	0.9900
16	42	0.2179	0.9700
16	123	0.2114	0.9750
16	456	0.2282	0.9900
