G	mean_zvf	reward_mean	zvf_per_reward	decreasing_from_G2
2	0.8380	0.8398	0.9979	yes
4	0.7635	0.8625	0.8852	yes
8	0.6906	0.8694	0.7943	yes
16	0.6312	0.8731	0.7229	yes
