G	p_emp	zvf_iid	zvf_obs	delta_div	overherd
2	0.8398	0.7309	0.8380	-0.1071	yes
4	0.8625	0.5538	0.7635	-0.2097	yes
8	0.8694	0.3264	0.6906	-0.3642	yes
16	0.8731	0.1140	0.6312	-0.5172	yes
