alpha	beta	mean_paired_delta	sd_delta	tost_bound_p95	point_estimate
0.00	0.00	-0.0020	0.0059	0.0293	point-invariant
0.00	0.05	-0.0020	0.0147	0.0638	point-invariant
0.00	0.10	-0.0017	0.0194	0.0833	point-invariant
0.00	0.20	-0.0017	0.0255	0.1082	point-invariant
0.05	0.00	-0.0018	0.0058	0.0280	point-invariant
0.05	0.05	-0.0018	0.0148	0.0638	point-invariant
0.05	0.10	-0.0018	0.0195	0.0838	point-invariant
0.05	0.20	-0.0016	0.0255	0.1088	point-invariant
0.10	0.00	-0.0018	0.0056	0.0270	point-invariant
0.10	0.05	-0.0017	0.0149	0.0631	point-invariant
0.10	0.10	-0.0017	0.0195	0.0830	point-invariant
0.10	0.20	-0.0016	0.0253	0.1088	point-invariant
0.20	0.00	-0.0015	0.0054	0.0252	point-invariant
0.20	0.05	-0.0015	0.0147	0.0627	point-invariant
0.20	0.10	-0.0015	0.0192	0.0818	point-invariant
0.20	0.20	-0.0012	0.0255	0.1081	point-invariant
0.30	0.00	-0.0013	0.0051	0.0239	point-invariant
0.30	0.05	-0.0013	0.0148	0.0632	point-invariant
0.30	0.10	-0.0010	0.0196	0.0825	point-invariant
0.30	0.20	-0.0007	0.0252	0.1077	point-invariant
