k	pass_at_k	pass_at_k_homog	bestof_disp_effect	pass_pow_k	pass_pow_k_homog	scissor_gap_atk_minus_powk
1	0.67426	0.67426	0.0	0.67426	0.67426	0.0
2	0.85699	0.89389	-0.0369	0.49152	0.45462	0.36547
3	0.92267	0.96544	-0.04276	0.37447	0.30653	0.54821
4	0.95202	0.98874	-0.03672	0.29374	0.20668	0.65828
5	0.96734	0.99633	-0.02899	0.23531	0.13936	0.73203
6	0.9763	0.99881	-0.0225	0.19153	0.09396	0.78477
7	0.982	0.99961	-0.01761	0.15783	0.06335	0.82417
8	0.98588	0.99987	-0.014	0.13134	0.04272	0.85453
9	0.98865	0.99996	-0.01131	0.11018	0.0288	0.87847
10	0.99071	0.99999	-0.00928	0.09303	0.01942	0.89768
