seed	strategy	evaluations	running_best
0	MIPRO_BO	1	0.8126
0	MIPRO_BO	2	0.8385
0	MIPRO_BO	3	0.8816
0	MIPRO_BO	4	0.8816
0	MIPRO_BO	5	0.9481
0	MIPRO_BO	6	0.9481
0	MIPRO_BO	7	0.9481
0	MIPRO_BO	8	0.9481
0	MIPRO_BO	9	0.9481
0	MIPRO_BO	10	0.9481
0	MIPRO_BO	11	0.9481
0	MIPRO_BO	12	0.9481
0	MIPRO_BO	13	0.9481
0	MIPRO_BO	14	0.9481
0	MIPRO_BO	15	0.9481
0	MIPRO_BO	16	0.9481
0	MIPRO_BO	17	0.9481
0	MIPRO_BO	18	0.9481
0	MIPRO_BO	19	0.9481
0	MIPRO_BO	20	0.9481
0	MIPRO_BO	21	0.9481
0	MIPRO_BO	22	0.9481
0	MIPRO_BO	23	0.9481
0	MIPRO_BO	24	0.9481
0	MIPRO_BO	25	0.9481
0	MIPRO_BO	26	0.9481
0	MIPRO_BO	27	0.9481
0	MIPRO_BO	28	0.9481
0	MIPRO_BO	29	0.9481
0	MIPRO_BO	30	0.9481
0	MIPRO_BO	31	0.9481
0	MIPRO_BO	32	0.9481
0	MIPRO_BO	33	0.9481
0	MIPRO_BO	34	0.9481
0	MIPRO_BO	35	0.9481
0	MIPRO_BO	36	0.9481
0	MIPRO_BO	37	0.9481
0	MIPRO_BO	38	0.9481
0	MIPRO_BO	39	0.9481
0	MIPRO_BO	40	0.9481
0	MIPRO_BO	41	0.9481
0	MIPRO_BO	42	0.9481
0	MIPRO_BO	43	0.9481
0	MIPRO_BO	44	0.9481
0	MIPRO_BO	45	0.9481
0	MIPRO_BO	46	0.9481
0	MIPRO_BO	47	0.9481
0	MIPRO_BO	48	0.9481
1	MIPRO_BO	1	0.8956
1	MIPRO_BO	2	0.9015
1	MIPRO_BO	3	0.9015
1	MIPRO_BO	4	0.9015
1	MIPRO_BO	5	0.9481
1	MIPRO_BO	6	0.9481
1	MIPRO_BO	7	0.9481
1	MIPRO_BO	8	0.9481
1	MIPRO_BO	9	0.9481
1	MIPRO_BO	10	0.9481
1	MIPRO_BO	11	0.9481
1	MIPRO_BO	12	0.9481
1	MIPRO_BO	13	0.9481
1	MIPRO_BO	14	0.9481
1	MIPRO_BO	15	0.9481
1	MIPRO_BO	16	0.9481
1	MIPRO_BO	17	0.9481
1	MIPRO_BO	18	0.9481
1	MIPRO_BO	19	0.9481
1	MIPRO_BO	20	0.9481
1	MIPRO_BO	21	0.9481
1	MIPRO_BO	22	0.9481
1	MIPRO_BO	23	0.9481
1	MIPRO_BO	24	0.9481
1	MIPRO_BO	25	0.9481
1	MIPRO_BO	26	0.9481
1	MIPRO_BO	27	0.9481
1	MIPRO_BO	28	0.9481
1	MIPRO_BO	29	0.9481
1	MIPRO_BO	30	0.9481
1	MIPRO_BO	31	0.9481
1	MIPRO_BO	32	0.9481
1	MIPRO_BO	33	0.9481
1	MIPRO_BO	34	0.9481
1	MIPRO_BO	35	0.9481
1	MIPRO_BO	36	0.9481
1	MIPRO_BO	37	0.9481
1	MIPRO_BO	38	0.9481
1	MIPRO_BO	39	0.9481
1	MIPRO_BO	40	0.9481
1	MIPRO_BO	41	0.9481
1	MIPRO_BO	42	0.9481
1	MIPRO_BO	43	0.9481
1	MIPRO_BO	44	0.9481
1	MIPRO_BO	45	0.9481
1	MIPRO_BO	46	0.9481
1	MIPRO_BO	47	0.9481
1	MIPRO_BO	48	0.9481
2	MIPRO_BO	1	0.8956
2	MIPRO_BO	2	0.8956
2	MIPRO_BO	3	0.9026
2	MIPRO_BO	4	0.9026
2	MIPRO_BO	5	0.9481
2	MIPRO_BO	6	0.9481
2	MIPRO_BO	7	0.9481
2	MIPRO_BO	8	0.9481
2	MIPRO_BO	9	0.9481
2	MIPRO_BO	10	0.9481
2	MIPRO_BO	11	0.9481
2	MIPRO_BO	12	0.9481
2	MIPRO_BO	13	0.9481
2	MIPRO_BO	14	0.9481
2	MIPRO_BO	15	0.9481
2	MIPRO_BO	16	0.9481
2	MIPRO_BO	17	0.9481
2	MIPRO_BO	18	0.9481
2	MIPRO_BO	19	0.9481
2	MIPRO_BO	20	0.9481
2	MIPRO_BO	21	0.9481
2	MIPRO_BO	22	0.9481
2	MIPRO_BO	23	0.9481
2	MIPRO_BO	24	0.9481
2	MIPRO_BO	25	0.9481
2	MIPRO_BO	26	0.9481
2	MIPRO_BO	27	0.9481
2	MIPRO_BO	28	0.9481
2	MIPRO_BO	29	0.9481
2	MIPRO_BO	30	0.9481
2	MIPRO_BO	31	0.9481
2	MIPRO_BO	32	0.9481
2	MIPRO_BO	33	0.9481
2	MIPRO_BO	34	0.9481
2	MIPRO_BO	35	0.9481
2	MIPRO_BO	36	0.9481
2	MIPRO_BO	37	0.9481
2	MIPRO_BO	38	0.9481
2	MIPRO_BO	39	0.9481
2	MIPRO_BO	40	0.9481
2	MIPRO_BO	41	0.9481
2	MIPRO_BO	42	0.9481
2	MIPRO_BO	43	0.9481
2	MIPRO_BO	44	0.9481
2	MIPRO_BO	45	0.9481
2	MIPRO_BO	46	0.9481
2	MIPRO_BO	47	0.9481
2	MIPRO_BO	48	0.9481
3	MIPRO_BO	1	0.8386
3	MIPRO_BO	2	0.8855
3	MIPRO_BO	3	0.9256
3	MIPRO_BO	4	0.9256
3	MIPRO_BO	5	0.9481
3	MIPRO_BO	6	0.9481
3	MIPRO_BO	7	0.9481
3	MIPRO_BO	8	0.9481
3	MIPRO_BO	9	0.9481
3	MIPRO_BO	10	0.9481
3	MIPRO_BO	11	0.9481
3	MIPRO_BO	12	0.9481
3	MIPRO_BO	13	0.9481
3	MIPRO_BO	14	0.9481
3	MIPRO_BO	15	0.9481
3	MIPRO_BO	16	0.9481
3	MIPRO_BO	17	0.9481
3	MIPRO_BO	18	0.9481
3	MIPRO_BO	19	0.9481
3	MIPRO_BO	20	0.9481
3	MIPRO_BO	21	0.9481
3	MIPRO_BO	22	0.9481
3	MIPRO_BO	23	0.9481
3	MIPRO_BO	24	0.9481
3	MIPRO_BO	25	0.9481
3	MIPRO_BO	26	0.9481
3	MIPRO_BO	27	0.9481
3	MIPRO_BO	28	0.9481
3	MIPRO_BO	29	0.9481
3	MIPRO_BO	30	0.9481
3	MIPRO_BO	31	0.9481
3	MIPRO_BO	32	0.9481
3	MIPRO_BO	33	0.9481
3	MIPRO_BO	34	0.9481
3	MIPRO_BO	35	0.9481
3	MIPRO_BO	36	0.9481
3	MIPRO_BO	37	0.9481
3	MIPRO_BO	38	0.9481
3	MIPRO_BO	39	0.9481
3	MIPRO_BO	40	0.9481
3	MIPRO_BO	41	0.9481
3	MIPRO_BO	42	0.9481
3	MIPRO_BO	43	0.9481
3	MIPRO_BO	44	0.9481
3	MIPRO_BO	45	0.9481
3	MIPRO_BO	46	0.9481
3	MIPRO_BO	47	0.9481
3	MIPRO_BO	48	0.9481
4	MIPRO_BO	1	0.8126
4	MIPRO_BO	2	0.8545
4	MIPRO_BO	3	0.9026
4	MIPRO_BO	4	0.9026
4	MIPRO_BO	5	0.9322
4	MIPRO_BO	6	0.9322
4	MIPRO_BO	7	0.9322
4	MIPRO_BO	8	0.9322
4	MIPRO_BO	9	0.9322
4	MIPRO_BO	10	0.9322
4	MIPRO_BO	11	0.9322
4	MIPRO_BO	12	0.9322
4	MIPRO_BO	13	0.9322
4	MIPRO_BO	14	0.9377
4	MIPRO_BO	15	0.9377
4	MIPRO_BO	16	0.9377
4	MIPRO_BO	17	0.9377
4	MIPRO_BO	18	0.9377
4	MIPRO_BO	19	0.9377
4	MIPRO_BO	20	0.9377
4	MIPRO_BO	21	0.9377
4	MIPRO_BO	22	0.9377
4	MIPRO_BO	23	0.9481
4	MIPRO_BO	24	0.9481
4	MIPRO_BO	25	0.9481
4	MIPRO_BO	26	0.9481
4	MIPRO_BO	27	0.9481
4	MIPRO_BO	28	0.9481
4	MIPRO_BO	29	0.9481
4	MIPRO_BO	30	0.9481
4	MIPRO_BO	31	0.9481
4	MIPRO_BO	32	0.9481
4	MIPRO_BO	33	0.9481
4	MIPRO_BO	34	0.9481
4	MIPRO_BO	35	0.9481
4	MIPRO_BO	36	0.9481
4	MIPRO_BO	37	0.9481
4	MIPRO_BO	38	0.9481
4	MIPRO_BO	39	0.9481
4	MIPRO_BO	40	0.9481
4	MIPRO_BO	41	0.9481
4	MIPRO_BO	42	0.9481
4	MIPRO_BO	43	0.9481
4	MIPRO_BO	44	0.9481
4	MIPRO_BO	45	0.9481
4	MIPRO_BO	46	0.9481
4	MIPRO_BO	47	0.9481
4	MIPRO_BO	48	0.9481
0	GRIDSEARCH	1	0.8637
0	GRIDSEARCH	2	0.8866
0	GRIDSEARCH	3	0.9026
0	GRIDSEARCH	4	0.9481
0	GRIDSEARCH	5	0.9481
0	GRIDSEARCH	6	0.9481
0	GRIDSEARCH	7	0.9481
0	GRIDSEARCH	8	0.9481
0	GRIDSEARCH	9	0.9481
0	GRIDSEARCH	10	0.9481
0	GRIDSEARCH	11	0.9481
0	GRIDSEARCH	12	0.9481
0	GRIDSEARCH	13	0.9481
0	GRIDSEARCH	14	0.9481
0	GRIDSEARCH	15	0.9481
0	GRIDSEARCH	16	0.9481
0	GRIDSEARCH	17	0.9481
0	GRIDSEARCH	18	0.9481
0	GRIDSEARCH	19	0.9481
0	GRIDSEARCH	20	0.9481
0	GRIDSEARCH	21	0.9481
0	GRIDSEARCH	22	0.9481
0	GRIDSEARCH	23	0.9481
0	GRIDSEARCH	24	0.9481
0	GRIDSEARCH	25	0.9481
0	GRIDSEARCH	26	0.9481
0	GRIDSEARCH	27	0.9481
0	GRIDSEARCH	28	0.9481
0	GRIDSEARCH	29	0.9481
0	GRIDSEARCH	30	0.9481
0	GRIDSEARCH	31	0.9481
0	GRIDSEARCH	32	0.9481
0	GRIDSEARCH	33	0.9481
0	GRIDSEARCH	34	0.9481
0	GRIDSEARCH	35	0.9481
0	GRIDSEARCH	36	0.9481
0	GRIDSEARCH	37	0.9481
0	GRIDSEARCH	38	0.9481
0	GRIDSEARCH	39	0.9481
0	GRIDSEARCH	40	0.9481
0	GRIDSEARCH	41	0.9481
0	GRIDSEARCH	42	0.9481
0	GRIDSEARCH	43	0.9481
0	GRIDSEARCH	44	0.9481
0	GRIDSEARCH	45	0.9481
0	GRIDSEARCH	46	0.9481
0	GRIDSEARCH	47	0.9481
0	GRIDSEARCH	48	0.9481
1	GRIDSEARCH	1	0.3778
1	GRIDSEARCH	2	0.9167
1	GRIDSEARCH	3	0.9167
1	GRIDSEARCH	4	0.9167
1	GRIDSEARCH	5	0.9256
1	GRIDSEARCH	6	0.9256
1	GRIDSEARCH	7	0.9256
1	GRIDSEARCH	8	0.9256
1	GRIDSEARCH	9	0.9256
1	GRIDSEARCH	10	0.9256
1	GRIDSEARCH	11	0.9256
1	GRIDSEARCH	12	0.9256
1	GRIDSEARCH	13	0.9256
1	GRIDSEARCH	14	0.9256
1	GRIDSEARCH	15	0.9256
1	GRIDSEARCH	16	0.9377
1	GRIDSEARCH	17	0.9481
1	GRIDSEARCH	18	0.9481
1	GRIDSEARCH	19	0.9481
1	GRIDSEARCH	20	0.9481
1	GRIDSEARCH	21	0.9481
1	GRIDSEARCH	22	0.9481
1	GRIDSEARCH	23	0.9481
1	GRIDSEARCH	24	0.9481
1	GRIDSEARCH	25	0.9481
1	GRIDSEARCH	26	0.9481
1	GRIDSEARCH	27	0.9481
1	GRIDSEARCH	28	0.9481
1	GRIDSEARCH	29	0.9481
1	GRIDSEARCH	30	0.9481
1	GRIDSEARCH	31	0.9481
1	GRIDSEARCH	32	0.9481
1	GRIDSEARCH	33	0.9481
1	GRIDSEARCH	34	0.9481
1	GRIDSEARCH	35	0.9481
1	GRIDSEARCH	36	0.9481
1	GRIDSEARCH	37	0.9481
1	GRIDSEARCH	38	0.9481
1	GRIDSEARCH	39	0.9481
1	GRIDSEARCH	40	0.9481
1	GRIDSEARCH	41	0.9481
1	GRIDSEARCH	42	0.9481
1	GRIDSEARCH	43	0.9481
1	GRIDSEARCH	44	0.9481
1	GRIDSEARCH	45	0.9481
1	GRIDSEARCH	46	0.9481
1	GRIDSEARCH	47	0.9481
1	GRIDSEARCH	48	0.9481
2	GRIDSEARCH	1	0.3023
2	GRIDSEARCH	2	0.8386
2	GRIDSEARCH	3	0.8386
2	GRIDSEARCH	4	0.9026
2	GRIDSEARCH	5	0.9026
2	GRIDSEARCH	6	0.9026
2	GRIDSEARCH	7	0.9026
2	GRIDSEARCH	8	0.9026
2	GRIDSEARCH	9	0.9026
2	GRIDSEARCH	10	0.9026
2	GRIDSEARCH	11	0.9026
2	GRIDSEARCH	12	0.9026
2	GRIDSEARCH	13	0.9026
2	GRIDSEARCH	14	0.9026
2	GRIDSEARCH	15	0.9026
2	GRIDSEARCH	16	0.9026
2	GRIDSEARCH	17	0.9167
2	GRIDSEARCH	18	0.9167
2	GRIDSEARCH	19	0.9377
2	GRIDSEARCH	20	0.9377
2	GRIDSEARCH	21	0.9377
2	GRIDSEARCH	22	0.9377
2	GRIDSEARCH	23	0.9377
2	GRIDSEARCH	24	0.9377
2	GRIDSEARCH	25	0.9377
2	GRIDSEARCH	26	0.9377
2	GRIDSEARCH	27	0.9481
2	GRIDSEARCH	28	0.9481
2	GRIDSEARCH	29	0.9481
2	GRIDSEARCH	30	0.9481
2	GRIDSEARCH	31	0.9481
2	GRIDSEARCH	32	0.9481
2	GRIDSEARCH	33	0.9481
2	GRIDSEARCH	34	0.9481
2	GRIDSEARCH	35	0.9481
2	GRIDSEARCH	36	0.9481
2	GRIDSEARCH	37	0.9481
2	GRIDSEARCH	38	0.9481
2	GRIDSEARCH	39	0.9481
2	GRIDSEARCH	40	0.9481
2	GRIDSEARCH	41	0.9481
2	GRIDSEARCH	42	0.9481
2	GRIDSEARCH	43	0.9481
2	GRIDSEARCH	44	0.9481
2	GRIDSEARCH	45	0.9481
2	GRIDSEARCH	46	0.9481
2	GRIDSEARCH	47	0.9481
2	GRIDSEARCH	48	0.9481
3	GRIDSEARCH	1	0.3023
3	GRIDSEARCH	2	0.3680
3	GRIDSEARCH	3	0.9167
3	GRIDSEARCH	4	0.9256
3	GRIDSEARCH	5	0.9256
3	GRIDSEARCH	6	0.9256
3	GRIDSEARCH	7	0.9256
3	GRIDSEARCH	8	0.9256
3	GRIDSEARCH	9	0.9256
3	GRIDSEARCH	10	0.9256
3	GRIDSEARCH	11	0.9256
3	GRIDSEARCH	12	0.9256
3	GRIDSEARCH	13	0.9256
3	GRIDSEARCH	14	0.9256
3	GRIDSEARCH	15	0.9256
3	GRIDSEARCH	16	0.9256
3	GRIDSEARCH	17	0.9256
3	GRIDSEARCH	18	0.9256
3	GRIDSEARCH	19	0.9256
3	GRIDSEARCH	20	0.9256
3	GRIDSEARCH	21	0.9256
3	GRIDSEARCH	22	0.9256
3	GRIDSEARCH	23	0.9256
3	GRIDSEARCH	24	0.9256
3	GRIDSEARCH	25	0.9256
3	GRIDSEARCH	26	0.9256
3	GRIDSEARCH	27	0.9256
3	GRIDSEARCH	28	0.9256
3	GRIDSEARCH	29	0.9256
3	GRIDSEARCH	30	0.9322
3	GRIDSEARCH	31	0.9322
3	GRIDSEARCH	32	0.9322
3	GRIDSEARCH	33	0.9322
3	GRIDSEARCH	34	0.9322
3	GRIDSEARCH	35	0.9322
3	GRIDSEARCH	36	0.9322
3	GRIDSEARCH	37	0.9377
3	GRIDSEARCH	38	0.9377
3	GRIDSEARCH	39	0.9377
3	GRIDSEARCH	40	0.9377
3	GRIDSEARCH	41	0.9377
3	GRIDSEARCH	42	0.9377
3	GRIDSEARCH	43	0.9377
3	GRIDSEARCH	44	0.9377
3	GRIDSEARCH	45	0.9481
3	GRIDSEARCH	46	0.9481
3	GRIDSEARCH	47	0.9481
3	GRIDSEARCH	48	0.9481
4	GRIDSEARCH	1	0.8287
4	GRIDSEARCH	2	0.8287
4	GRIDSEARCH	3	0.8287
4	GRIDSEARCH	4	0.8545
4	GRIDSEARCH	5	0.8545
4	GRIDSEARCH	6	0.8545
4	GRIDSEARCH	7	0.8545
4	GRIDSEARCH	8	0.8545
4	GRIDSEARCH	9	0.8545
4	GRIDSEARCH	10	0.8796
4	GRIDSEARCH	11	0.8796
4	GRIDSEARCH	12	0.8796
4	GRIDSEARCH	13	0.9256
4	GRIDSEARCH	14	0.9256
4	GRIDSEARCH	15	0.9256
4	GRIDSEARCH	16	0.9256
4	GRIDSEARCH	17	0.9256
4	GRIDSEARCH	18	0.9256
4	GRIDSEARCH	19	0.9256
4	GRIDSEARCH	20	0.9256
4	GRIDSEARCH	21	0.9256
4	GRIDSEARCH	22	0.9256
4	GRIDSEARCH	23	0.9256
4	GRIDSEARCH	24	0.9256
4	GRIDSEARCH	25	0.9256
4	GRIDSEARCH	26	0.9256
4	GRIDSEARCH	27	0.9256
4	GRIDSEARCH	28	0.9256
4	GRIDSEARCH	29	0.9256
4	GRIDSEARCH	30	0.9256
4	GRIDSEARCH	31	0.9481
4	GRIDSEARCH	32	0.9481
4	GRIDSEARCH	33	0.9481
4	GRIDSEARCH	34	0.9481
4	GRIDSEARCH	35	0.9481
4	GRIDSEARCH	36	0.9481
4	GRIDSEARCH	37	0.9481
4	GRIDSEARCH	38	0.9481
4	GRIDSEARCH	39	0.9481
4	GRIDSEARCH	40	0.9481
4	GRIDSEARCH	41	0.9481
4	GRIDSEARCH	42	0.9481
4	GRIDSEARCH	43	0.9481
4	GRIDSEARCH	44	0.9481
4	GRIDSEARCH	45	0.9481
4	GRIDSEARCH	46	0.9481
4	GRIDSEARCH	47	0.9481
4	GRIDSEARCH	48	0.9481
0	RANDOM	1	0.8556
0	RANDOM	2	0.8556
0	RANDOM	3	0.8556
0	RANDOM	4	0.8686
0	RANDOM	5	0.9015
0	RANDOM	6	0.9015
0	RANDOM	7	0.9015
0	RANDOM	8	0.9015
0	RANDOM	9	0.9322
0	RANDOM	10	0.9322
0	RANDOM	11	0.9322
0	RANDOM	12	0.9322
1	RANDOM	1	0.9322
1	RANDOM	2	0.9322
1	RANDOM	3	0.9322
1	RANDOM	4	0.9322
1	RANDOM	5	0.9322
1	RANDOM	6	0.9322
1	RANDOM	7	0.9322
1	RANDOM	8	0.9322
1	RANDOM	9	0.9322
1	RANDOM	10	0.9322
1	RANDOM	11	0.9322
1	RANDOM	12	0.9322
2	RANDOM	1	0.8637
2	RANDOM	2	0.9256
2	RANDOM	3	0.9256
2	RANDOM	4	0.9256
2	RANDOM	5	0.9256
2	RANDOM	6	0.9256
2	RANDOM	7	0.9256
2	RANDOM	8	0.9256
2	RANDOM	9	0.9256
2	RANDOM	10	0.9256
2	RANDOM	11	0.9256
2	RANDOM	12	0.9256
3	RANDOM	1	0.3253
3	RANDOM	2	0.3253
3	RANDOM	3	0.3411
3	RANDOM	4	0.9256
3	RANDOM	5	0.9256
3	RANDOM	6	0.9256
3	RANDOM	7	0.9256
3	RANDOM	8	0.9256
3	RANDOM	9	0.9256
3	RANDOM	10	0.9256
3	RANDOM	11	0.9256
3	RANDOM	12	0.9256
4	RANDOM	1	0.3023
4	RANDOM	2	0.3778
4	RANDOM	3	0.3778
4	RANDOM	4	0.8796
4	RANDOM	5	0.9256
4	RANDOM	6	0.9256
4	RANDOM	7	0.9256
4	RANDOM	8	0.9256
4	RANDOM	9	0.9256
4	RANDOM	10	0.9256
4	RANDOM	11	0.9256
4	RANDOM	12	0.9256
