k	pass_pow_k_middle	pass_pow_k_full	naive_muF_pow_k	full_jensen_excess
1	0.67426	0.86944	0.86944	0.0
2	0.49152	0.79621	0.75593	0.04027
3	0.37447	0.74929	0.65724	0.09205
4	0.29374	0.71694	0.57144	0.1455
5	0.23531	0.69352	0.49683	0.19669
6	0.19153	0.67597	0.43197	0.244
7	0.15783	0.66246	0.37557	0.28689
8	0.13134	0.65185	0.32654	0.32531
9	0.11018	0.64337	0.28391	0.35946
10	0.09303	0.63649	0.24684	0.38965
