k	pass_pow_k_A	var_A	pass_pow_k_B	var_B	reliability_diff_A_minus_B
1	0.67426	0.0369	0.67429	0.11401	-3e-05
2	0.49152	0.0369	0.56868	0.11401	-0.07716
3	0.37447	0.0369	0.53443	0.11401	-0.15997
4	0.29374	0.0369	0.52333	0.11401	-0.22959
5	0.23531	0.0369	0.51973	0.11401	-0.28441
6	0.19153	0.0369	0.51856	0.11401	-0.32703
7	0.15783	0.0369	0.51818	0.11401	-0.36035
8	0.13134	0.0369	0.51806	0.11401	-0.38671
9	0.11018	0.0369	0.51802	0.11401	-0.40784
10	0.09303	0.0369	0.51801	0.11401	-0.42498
