window_W	start_p	recovery_rate
1	0	0
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	0
1	7	0.0833
1	8	0
1	9	0.0833
1	10	0
1	11	0
1	12	0.0833
1	13	0.1667
1	14	0.7500
1	15	0.8333
1	16	0.6667
1	17	0.6667
1	18	0.8333
1	19	0.8333
1	20	1
1	21	1
1	22	1
1	23	1
1	24	0.8333
1	25	1
1	26	1
1	27	1
1	28	1
1	29	1
1	30	0.5000
1	31	1
1	32	0.9167
1	33	0.9167
1	34	1
1	35	0.8333
1	36	0.9167
1	37	1
1	38	0.8333
1	39	1
2	0	0
2	1	0
2	2	0
2	3	0
2	4	0
2	5	0
2	6	0
2	7	0
2	8	0
2	9	0
2	10	0
2	11	0
2	12	0.0833
2	13	0.3333
2	14	0.7500
2	15	0.6667
2	16	0.5000
2	17	0.6667
2	18	0.7500
2	19	0.9167
2	20	1
2	21	1
2	22	1
2	23	1
2	24	0.9167
2	25	1
2	26	1
2	27	1
2	28	1
2	29	1
2	30	0.8333
2	31	1
2	32	1
2	33	1
2	34	1
2	35	0.8333
2	36	1
2	37	1
2	38	1
3	0	0
3	1	0
3	2	0
3	3	0
3	4	0
3	5	0
3	6	0
3	7	0
3	8	0
3	9	0
3	10	0
3	11	0
3	12	0.0833
3	13	0.5000
3	14	0.8333
3	15	0.6667
3	16	0.8333
3	17	0.9167
3	18	0.9167
3	19	1
3	20	1
3	21	1
3	22	1
3	23	1
3	24	1
3	25	1
3	26	1
3	27	1
3	28	1
3	29	1
3	30	0.9167
3	31	1
3	32	1
3	33	1
3	34	1
3	35	1
3	36	1
3	37	1
5	0	0
5	1	0
5	2	0
5	3	0
5	4	0
5	5	0
5	6	0
5	7	0
5	8	0
5	9	0
5	10	0
5	11	0.0833
5	12	0.3333
5	13	0.6667
5	14	0.9167
5	15	0.9167
5	16	1
5	17	0.9167
5	18	1
5	19	1
5	20	1
5	21	1
5	22	1
5	23	1
5	24	1
5	25	1
5	26	1
5	27	1
5	28	1
5	29	1
5	30	1
5	31	1
5	32	1
5	33	1
5	34	1
5	35	1
8	0	0
8	1	0
8	2	0
8	3	0
8	4	0
8	5	0
8	6	0
8	7	0
8	8	0
8	9	0
8	10	0.0833
8	11	0.1667
8	12	0.6667
8	13	0.9167
8	14	0.9167
8	15	1
8	16	1
8	17	1
8	18	1
8	19	1
8	20	1
8	21	1
8	22	1
8	23	1
8	24	1
8	25	1
8	26	1
8	27	1
8	28	1
8	29	1
8	30	1
8	31	1
8	32	1
13	0	0
13	1	0
13	2	0
13	3	0
13	4	0
13	5	0
13	6	0
13	7	0
13	8	0
13	9	0.3333
13	10	0.6667
13	11	0.7500
13	12	1
13	13	1
13	14	1
13	15	1
13	16	1
13	17	1
13	18	1
13	19	1
13	20	1
13	21	1
13	22	1
13	23	1
13	24	1
13	25	1
13	26	1
13	27	1
21	0	0
21	1	0
21	2	0
21	3	0
21	4	0
21	5	0
21	6	0.0833
21	7	0.6667
21	8	0.7500
21	9	0.8333
21	10	0.9167
21	11	1
21	12	1
21	13	1
21	14	1
21	15	1
21	16	1
21	17	1
21	18	1
21	19	1
