cohort	metric	value	mean_p	variance_p	zvf	contrastive_yield
observed_middle	pass^5	0.235313733	0.674257426	0.036899201	0.267969717	0.732030283
observed_middle	contrastive_yield	0.732030283	0.674257426	0.036899201	0.267969717	0.732030283
equal_mean_polarized	pass^5	0.519727813	0.674292079	0.114009059	0.587640896	0.412359104
equal_mean_polarized	contrastive_yield	0.412359104	0.674292079	0.114009059	0.587640896	0.412359104
