k	pass_power_k	fail_power_k	pass_at_k	zvf	contrastive_yield	scissor_gap	identity_abs_error	yield_per_rollout	yield_over_sqrt_k
2	0.491522277	0.143007426	0.856992574	0.634529703	0.365470297	0.365470297	0.0	0.182735149	0.258426525
3	0.374466275	0.07732828	0.92267172	0.451794554	0.548205446	0.548205446	0.0	0.182735149	0.316506562
4	0.293739364	0.047978226	0.952021774	0.34171759	0.65828241	0.65828241	1.1102230246251565e-16	0.164570603	0.329141205
5	0.235313733	0.032655984	0.967344016	0.267969717	0.732030283	0.732030283	0.0	0.146406057	0.327373895
6	0.191527308	0.023699483	0.976300517	0.215226791	0.784773209	0.784773209	0.0	0.130795535	0.320382321
7	0.157828059	0.01799868	0.98200132	0.175826739	0.824173261	0.824173261	1.1102230246251565e-16	0.117739037	0.311508212
8	0.131344426	0.014124007	0.985875993	0.145468433	0.854531567	0.854531567	1.1102230246251565e-16	0.106816446	0.302122533
9	0.110178917	0.011352297	0.988647703	0.121531214	0.878468786	0.878468786	0.0	0.097607643	0.292822929
10	0.093029876	0.009288563	0.990711437	0.102318439	0.897681561	0.897681561	0.0	0.089768156	0.283871835
11	0.078976344	0.007702905	0.992297095	0.086679249	0.913320751	0.913320751	0.0	0.083029159	0.275376568
12	0.067349567	0.006454081	0.993545919	0.073803648	0.926196352	0.926196352	0.0	0.077183029	0.267369857
13	0.057653068	0.005451158	0.994548842	0.063104226	0.936895774	0.936895774	0.0	0.072068906	0.259848135
14	0.049511175	0.004633154	0.995366846	0.054144329	0.945855671	0.945855671	0.0	0.067561119	0.252790561
15	0.042634868	0.003957682	0.996042318	0.04659255	0.95340745	0.95340745	0.0	0.063560497	0.246168745
16	0.036798529	0.003394345	0.996605655	0.040192873	0.959807127	0.959807127	1.1102230246251565e-16	0.059987945	0.239951782
