cohort	n	mean_p	variance_p	k	pass_power_k	fail_power_k	zvf	contrastive_yield
observed_middle	505	0.674257426	0.036899201	5	0.235313733	0.032655984	0.267969717	0.732030283
equal_mean_polarized	1000	0.674292079	0.114009059	5	0.519727813	0.067913083	0.587640896	0.412359104
