step	phase	loss	n	accuracy	auc	elapsed_s
0	eval_mid		100	0.8000	0.5000	15.0
1	train	566.9903392791748	32			18.6
2	train	109.72515368461609	32			23.5
3	train	32.67462706565857	32			29.0
4	train	23.522980630397797	32			33.6
5	train	22.37338824570179	32			37.4
6	train	14.879857316613197	32			42.1
7	train	11.743709817528725	32			45.7
8	train	9.961040511727333	32			49.1
9	train	7.578264467418194	32			53.1
10	train	13.574404537677765	32			56.6
11	train	36.385952427983284	32			60.0
12	train	15.412896197289228	32			64.1
13	train	13.896703079342842	32			67.8
14	train	11.620770171284676	32			71.4
15	train	10.336087226867676	32			74.9
16	train	11.867835134267807	32			78.3
16	eval_mid		100	0.8000	0.4356	88.7
17	train	15.611417323350906	32			92.1
18	train	10.000622130930424	32			95.5
19	train	12.471386596560478	32			99.7
20	train	10.14195353537798	32			103.6
21	train	7.4655312821269035	32			107.2
22	train	19.240509293973446	32			110.7
23	train	15.991896945983171	32			114.1
24	train	17.628463692963123	32			117.9
25	train	22.722577661275864	32			121.2
26	train	11.05498556792736	32			124.6
27	train	12.14462411403656	32			128.3
28	train	13.743319809436798	32			131.7
29	train	17.993867367506027	32			135.4
30	train	15.696372985839844	32			139.1
31	train	18.262300595641136	32			143.0
32	train	12.52092632651329	32			146.2
32	eval_mid		100	0.7900	0.5422	157.6
33	train	10.215354457497597	32			161.3
34	train	14.143635518848896	32			164.8
35	train	12.18563187867403	32			168.5
36	train	21.09732313454151	32			172.2
37	train	10.000693418085575	32			175.8
38	train	12.088354386389256	32			179.3
39	train	11.952104717493057	32			182.5
40	train	10.361607864499092	32			186.2
41	train	15.699560523033142	32			190.0
42	train	12.168487414717674	32			193.5
43	train	17.227419316768646	32			196.7
44	train	12.25461359322071	32			200.0
45	train	15.487859606742859	32			203.5
46	train	10.813201889395714	32			206.7
47	train	15.501473620533943	32			210.2
48	train	15.344538301229477	32			214.7
48	eval_mid		100	0.7800	0.6384	225.0
49	train	10.567612886428833	32			228.1
50	train	13.919346690177917	32			231.7
51	train	15.799013018608093	32			236.7
52	train	6.440097004175186	32			241.5
53	train	20.04946032166481	32			245.1
54	train	17.90710051357746	32			250.4
55	train	15.713536351919174	32			255.9
56	train	18.12271098792553	32			259.4
57	train	11.853004366159439	32			263.0
58	train	13.499565988779068	32			266.3
59	train	15.682990849018097	32			269.6
60	train	13.772955626249313	32			273.8
61	train	13.881623849272728	32			277.2
62	train	18.077549785375595	32			280.5
63	train	8.023673072457314	16			283.7
63	eval_final		500	0.7920	0.4827	309.1
