G	step	reward_mean	zvf	frac_all_zero	frac_all_one	pcd	mean_len	n_groups	n_completions	loss
4	0	0.796875	0.75	0.125	0.625	0.0380859375	360.484375	16	64	None
4	1	0.8125	0.8125	0.0625	0.75	0.029296875	354.59375	16	64	None
4	2	0.859375	0.8125	0.0625	0.75	0.0263671875	380.734375	16	64	None
4	3	0.75	0.75	0.125	0.625	0.041015625	407.953125	16	64	None
4	4	0.8125	0.875	0.125	0.75	0.017578125	379.59375	16	64	None
4	5	0.671875	0.6875	0.125	0.5625	0.0498046875	404.234375	16	64	None
4	6	0.734375	0.6875	0.125	0.5625	0.0439453125	401.03125	16	64	None
4	7	0.703125	0.8125	0.1875	0.625	0.0322265625	393.375	16	64	None
4	8	0.828125	0.8125	0.0625	0.75	0.0263671875	360.03125	16	64	None
4	9	0.828125	0.8125	0.0625	0.75	0.0263671875	352.890625	16	64	None
4	10	0.84375	0.6875	0.0	0.6875	0.046875	375.796875	16	64	None
4	11	0.6875	0.625	0.125	0.5	0.05859375	408.765625	16	64	None
4	12	0.765625	0.75	0.125	0.625	0.0380859375	387.78125	16	64	None
4	13	0.640625	0.75	0.1875	0.5625	0.0380859375	406.515625	16	64	None
4	14	0.828125	0.875	0.125	0.75	0.0205078125	394.453125	16	64	None
4	15	0.671875	0.625	0.125	0.5	0.0556640625	405.71875	16	64	None
8	0	0.96875	0.875	0.0	0.875	0.0205078125	341.46875	8	64	None
8	1	0.671875	0.5	0.0	0.5	0.056396484375	384.3125	8	64	None
8	2	0.859375	0.625	0.0	0.625	0.063232421875	372.796875	8	64	None
8	3	0.8125	0.625	0.0	0.625	0.05810546875	346.109375	8	64	None
8	4	0.828125	0.625	0.125	0.5	0.035888671875	401.296875	8	64	None
8	5	0.90625	0.875	0.0	0.875	0.0205078125	360.9375	8	64	None
8	6	0.828125	0.75	0.125	0.625	0.032470703125	426.03125	8	64	None
8	7	0.78125	0.75	0.125	0.625	0.05126953125	382.1875	8	64	None
8	8	0.703125	0.375	0.0	0.375	0.107666015625	438.015625	8	64	None
8	9	0.921875	0.75	0.0	0.75	0.046142578125	323.1875	8	64	None
8	10	0.640625	0.5	0.125	0.375	0.083740234375	399.578125	8	64	None
8	11	0.6875	0.75	0.125	0.625	0.03759765625	416.15625	8	64	None
8	12	0.734375	0.75	0.125	0.625	0.046142578125	385.28125	8	64	None
8	13	0.796875	0.875	0.125	0.75	0.025634765625	379.6875	8	64	None
8	14	0.734375	0.875	0.25	0.625	0.011962890625	372.625	8	64	None
8	15	0.734375	0.625	0.125	0.5	0.052978515625	395.96875	8	64	None
