algo	n_seeds	rolling_var_mean	rolling_var_sd	rolling_var_max	per_seed
grpo	5	0.00494	0.000407	0.005502	[0.005502, 0.005138, 0.004585, 0.0051, 0.004373]
ppo	5	0.008477	0.002636	0.012576	[0.010104, 0.007974, 0.012576, 0.006701, 0.005029]
