algo	n_seeds	gradnorm_mean_per_seed	gradnorm_sd_per_seed	gradnorm_mean	gradnorm_sd	cv_gradnorm_mean	cv_gradnorm_median
grpo	5	[0.4577, 0.7762, 0.6852, 0.6328, 0.5552]	[0.7299, 0.9019, 0.9143, 0.7717, 0.7917]	0.6214	0.8219	1.3473	1.3343
ppo	5	[71.9144, 60.6752, 100.2476, 156.6884, 94.4173]	[155.7202, 47.7164, 130.5279, 290.3199, 99.8905]	96.7886	144.835	1.4329	1.3021
