variant	n	mean_diff	s_d	se	mde_80	equiv_bound
full	5	0.060781	0.107089	0.047892	0.180123	0.162879
drop_seed456	4	0.013867	0.024856	0.012428	0.052893	0.043115
winsor10	5	0.047094	0.068014	0.030417	0.1144	0.111938
