model	t80_mean	t80_lo_conservative	lead_time_buffer	reserved_fraction
Qwen3.5-4B	0.6059	0.1609	0.4450	0.734
Qwen3-8B	1.4225	0.1609	1.2616	0.887
Llama-3.1-8B-Instruct	0.4593	0.1609	0.2984	0.650
DeepSeek-V3.1	0.4743	0.1609	0.3134	0.661
Nemotron-120B	17.8676	0.1609	17.7067	0.991
MEAN_reserved_fraction				0.785
