method	mag	zvf_risk	rank_mag	rank_zvf	overherd_proxy
grpo	0.4808	0.5777	9	9	-0.5777
ngrpo	0.3004	0.4467	7	8	-0.4467
aero	0.2203	0.4301	5	7	-0.4301
cppo	0.2952	0.4266	6	6	-0.4266
mcgrpo	0.1460	0.4034	4	5	-0.4034
areal	0.1209	0.3319	3	4	-0.3319
gift	0.1142	0.3145	1	3	-0.3145
es	0.1142	0.3051	2	2	-0.3051
scafgrpo	0.3166	0.2253	8	1	-0.2253
