G_fit	delta_div	abs_delta_div	log10_abs
2	-0.1071	0.1071	-0.9703
4	-0.2097	0.2097	-0.6783
8	-0.3642	0.3642	-0.4387
16	-0.5172	0.5172	-0.2864
64	-1.6166	1.6166	0.2086
slope_per_decade_G	—	—	+0.7612
ratio_G64_over_G2	—	15.099	DECISIVE
