task	algo	seed	len_slope	rew_slope	beta_implied
arithmetic_easy_qwen2.5-0.5b	grpo	42	-0.027657	0.008663	0.3132299237082836
arithmetic_easy_qwen2.5-0.5b	grpo	123	-0.025687	0.0084	0.32701366449955227
arithmetic_easy_qwen2.5-0.5b	grpo	456	-0.02835	0.008617	0.3039506172839506
arithmetic_easy_qwen2.5-0.5b	grpo	789	-0.03057	0.008597	0.2812234216552176
arithmetic_easy_qwen2.5-0.5b	grpo	1024	-0.036097	0.00901	0.2496052303515528
arithmetic_easy_qwen2.5-0.5b	dr_grpo	42	-0.025846	0.009845	0.3809100054166989
arithmetic_easy_qwen2.5-0.5b	dr_grpo	123	-0.023056	0.009857	0.4275242886884108
arithmetic_easy_qwen2.5-0.5b	dr_grpo	456	-0.02524	0.009958	0.39453248811410463
arithmetic_easy_qwen2.5-0.5b	dr_grpo	789	-0.029056	0.00995	0.34244218061674014
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	-0.029035	0.009247	0.31847769932839676
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	-0.881598	0.002343	0.0026576739057937973
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	-0.429369	-0.000706	-0.0016442733406463906
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	-0.131017	0.00082	0.006258729783157911
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	-0.318069	0.001338	0.004206634409514917
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	-0.276828	-0.000122	-0.0004407068649125088
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	-0.054157	0.000302	0.0055763797847000396
