strategy	seed	best_so_far	cum_regret	posterior_var
RANDOM	0	0.9322	3.3963	0.0610
RANDOM	1	0.9322	3.9502	0.0582
RANDOM	2	0.9256	2.6937	0.0458
RANDOM	3	0.9256	3.9115	0.0726
RANDOM	4	0.9256	3.8313	0.0664
GRIDSEARCH	0	0.9481	12.7777	0.0598
GRIDSEARCH	1	0.9481	12.7777	0.0598
GRIDSEARCH	2	0.9481	12.7777	0.0598
GRIDSEARCH	3	0.9481	12.7777	0.0598
GRIDSEARCH	4	0.9481	12.7777	0.0598
MIPRO_BO	0	0.9481	12.7777	0.0008
MIPRO_BO	1	0.9481	12.7777	0.0008
MIPRO_BO	2	0.9481	12.7777	0.0008
MIPRO_BO	3	0.9481	12.7777	0.0008
MIPRO_BO	4	0.9481	12.7777	0.0008
