pair	mean_diff	se	within_0.02
2v4	-0.0067	0.0038	1
2v8	-0.0083	0.0043	1
2v16	0.0033	0.0061	1
4v8	-0.0017	0.0027	1
4v16	0.01	0.0051	1
8v16	0.0117	0.0054	1
SUMMARY	0.0117	0.0053	6/6
