strategy	seed	k	eval_score	cum_regret	best_so_far
MIPRO_BO	4	3	0.9026	0.2747	0.9026
MIPRO_BO	4	4	0.2471	0.9757	0.9026
MIPRO_BO	4	5	0.9322	0.9917	0.9322
MIPRO_BO	4	6	0.3610	1.5788	0.9322
MIPRO_BO	4	7	0.9167	1.6103	0.9322
MIPRO_BO	4	8	0.3963	2.1621	0.9322
MIPRO_BO	4	9	0.4048	2.7054	0.9322
MIPRO_BO	4	10	0.6062	3.0474	0.9322
MIPRO_BO	4	11	0.8897	3.1058	0.9322
MIPRO_BO	4	12	0.8556	3.1984	0.9322
MIPRO_BO	4	13	0.8911	3.2554	0.9322
MIPRO_BO	4	14	0.9377	3.2658	0.9377
MIPRO_BO	4	15	0.8816	3.3324	0.9377
MIPRO_BO	4	16	0.8287	3.4519	0.9377
MIPRO_BO	4	17	0.8866	3.5134	0.9377
MIPRO_BO	4	18	0.8855	3.5760	0.9377
MIPRO_BO	4	19	0.8386	3.6856	0.9377
MIPRO_BO	4	20	0.5902	4.0435	0.9377
MIPRO_BO	4	21	0.8637	4.1279	0.9377
MIPRO_BO	4	22	0.9207	4.1554	0.9377
MIPRO_BO	4	23	0.9481	4.1554	0.9481
MIPRO_BO	4	24	0.8652	4.2384	0.9481
MIPRO_BO	4	25	0.8956	4.2909	0.9481
MIPRO_BO	4	26	0.3770	4.8620	0.9481
MIPRO_BO	4	27	0.4038	5.4064	0.9481
MIPRO_BO	4	28	0.8796	5.4749	0.9481
MIPRO_BO	4	29	0.3778	6.0452	0.9481
MIPRO_BO	4	30	0.3593	6.6340	0.9481
MIPRO_BO	4	31	0.8896	6.6926	0.9481
MIPRO_BO	4	32	0.5432	7.0975	0.9481
MIPRO_BO	4	33	0.8326	7.2131	0.9481
MIPRO_BO	4	34	0.3680	7.7932	0.9481
MIPRO_BO	4	35	0.3411	8.4002	0.9481
MIPRO_BO	4	36	0.8686	8.4797	0.9481
MIPRO_BO	4	37	0.9015	8.5264	0.9481
MIPRO_BO	4	38	0.4240	9.0505	0.9481
MIPRO_BO	4	39	0.8727	9.1260	0.9481
MIPRO_BO	4	40	0.3041	9.7700	0.9481
MIPRO_BO	4	41	0.9256	9.7925	0.9481
MIPRO_BO	4	42	0.3023	10.4384	0.9481
MIPRO_BO	4	43	0.8157	10.5709	0.9481
MIPRO_BO	4	44	0.3253	11.1937	0.9481
MIPRO_BO	4	45	0.4608	11.6811	0.9481
MIPRO_BO	4	46	0.8385	11.7907	0.9481
MIPRO_BO	4	47	0.3101	12.4287	0.9481
MIPRO_BO	4	48	0.5992	12.7777	0.9481
