strategy	seed	k	eval_score	cum_regret	best_so_far
GRIDSEARCH	0	44	0.3680	11.1919	0.9481
GRIDSEARCH	0	45	0.8816	11.2584	0.9481
GRIDSEARCH	0	46	0.3778	11.8287	0.9481
GRIDSEARCH	0	47	0.6062	12.1707	0.9481
GRIDSEARCH	0	48	0.3411	12.7777	0.9481
GRIDSEARCH	1	1	0.3778	0.5703	0.3778
GRIDSEARCH	1	2	0.9167	0.6017	0.9167
GRIDSEARCH	1	3	0.8126	0.7373	0.9167
GRIDSEARCH	1	4	0.3610	1.3244	0.9167
GRIDSEARCH	1	5	0.9256	1.3469	0.9256
GRIDSEARCH	1	6	0.6062	1.6889	0.9256
GRIDSEARCH	1	7	0.5432	2.0938	0.9256
GRIDSEARCH	1	8	0.9026	2.1394	0.9256
GRIDSEARCH	1	9	0.8956	2.1919	0.9256
GRIDSEARCH	1	10	0.8385	2.3015	0.9256
GRIDSEARCH	1	11	0.2471	3.0026	0.9256
GRIDSEARCH	1	12	0.9015	3.0492	0.9256
GRIDSEARCH	1	13	0.3770	3.6204	0.9256
GRIDSEARCH	1	14	0.3101	4.2584	0.9256
GRIDSEARCH	1	15	0.8796	4.3269	0.9256
GRIDSEARCH	1	16	0.9377	4.3373	0.9377
GRIDSEARCH	1	17	0.9481	4.3373	0.9481
GRIDSEARCH	1	18	0.5992	4.6863	0.9481
GRIDSEARCH	1	19	0.4038	5.2306	0.9481
GRIDSEARCH	1	20	0.3023	5.8765	0.9481
GRIDSEARCH	1	21	0.8545	5.9702	0.9481
GRIDSEARCH	1	22	0.5902	6.3281	0.9481
GRIDSEARCH	1	23	0.8816	6.3947	0.9481
GRIDSEARCH	1	24	0.8157	6.5271	0.9481
GRIDSEARCH	1	25	0.8855	6.5898	0.9481
GRIDSEARCH	1	26	0.8637	6.6742	0.9481
GRIDSEARCH	1	27	0.4048	7.2175	0.9481
GRIDSEARCH	1	28	0.3963	7.7693	0.9481
GRIDSEARCH	1	29	0.4608	8.2567	0.9481
GRIDSEARCH	1	30	0.8866	8.3182	0.9481
GRIDSEARCH	1	31	0.8326	8.4337	0.9481
GRIDSEARCH	1	32	0.8686	8.5133	0.9481
GRIDSEARCH	1	33	0.4240	9.0374	0.9481
GRIDSEARCH	1	34	0.9322	9.0534	0.9481
GRIDSEARCH	1	35	0.8556	9.1459	0.9481
GRIDSEARCH	1	36	0.8287	9.2654	0.9481
GRIDSEARCH	1	37	0.8727	9.3409	0.9481
GRIDSEARCH	1	38	0.3411	9.9479	0.9481
GRIDSEARCH	1	39	0.8911	10.0049	0.9481
GRIDSEARCH	1	40	0.8897	10.0633	0.9481
GRIDSEARCH	1	41	0.8386	10.1729	0.9481
GRIDSEARCH	1	42	0.3253	10.7958	0.9481
GRIDSEARCH	1	43	0.3041	11.4398	0.9481
GRIDSEARCH	1	44	0.9207	11.4672	0.9481
GRIDSEARCH	1	45	0.8652	11.5502	0.9481
GRIDSEARCH	1	46	0.8896	11.6088	0.9481
GRIDSEARCH	1	47	0.3593	12.1976	0.9481
GRIDSEARCH	1	48	0.3680	12.7777	0.9481
GRIDSEARCH	2	1	0.3023	0.6459	0.3023
GRIDSEARCH	2	2	0.8386	0.7554	0.8386
GRIDSEARCH	2	3	0.5992	1.1044	0.8386
GRIDSEARCH	2	4	0.9026	1.1499	0.9026
GRIDSEARCH	2	5	0.4240	1.6740	0.9026
GRIDSEARCH	2	6	0.8686	1.7536	0.9026
GRIDSEARCH	2	7	0.4608	2.2409	0.9026
GRIDSEARCH	2	8	0.3593	2.8298	0.9026
GRIDSEARCH	2	9	0.3101	3.4678	0.9026
GRIDSEARCH	2	10	0.3770	4.0389	0.9026
GRIDSEARCH	2	11	0.6062	4.3809	0.9026
GRIDSEARCH	2	12	0.8796	4.4494	0.9026
GRIDSEARCH	2	13	0.8816	4.5160	0.9026
GRIDSEARCH	2	14	0.3963	5.0678	0.9026
GRIDSEARCH	2	15	0.8896	5.1264	0.9026
GRIDSEARCH	2	16	0.8727	5.2018	0.9026
GRIDSEARCH	2	17	0.9167	5.2333	0.9167
GRIDSEARCH	2	18	0.8911	5.2903	0.9167
GRIDSEARCH	2	19	0.9377	5.3007	0.9377
GRIDSEARCH	2	20	0.8897	5.3591	0.9377
GRIDSEARCH	2	21	0.8855	5.4218	0.9377
GRIDSEARCH	2	22	0.8157	5.5542	0.9377
GRIDSEARCH	2	23	0.8287	5.6737	0.9377
GRIDSEARCH	2	24	0.3778	6.2440	0.9377
GRIDSEARCH	2	25	0.3680	6.8241	0.9377
GRIDSEARCH	2	26	0.2471	7.5252	0.9377
GRIDSEARCH	2	27	0.9481	7.5252	0.9481
GRIDSEARCH	2	28	0.9322	7.5411	0.9481
GRIDSEARCH	2	29	0.9256	7.5637	0.9481
GRIDSEARCH	2	30	0.3411	8.1707	0.9481
GRIDSEARCH	2	31	0.8866	8.2322	0.9481
GRIDSEARCH	2	32	0.5902	8.5901	0.9481
GRIDSEARCH	2	33	0.3041	9.2342	0.9481
GRIDSEARCH	2	34	0.3253	9.8571	0.9481
GRIDSEARCH	2	35	0.8385	9.9667	0.9481
GRIDSEARCH	2	36	0.8126	10.1022	0.9481
GRIDSEARCH	2	37	0.8956	10.1548	0.9481
GRIDSEARCH	2	38	0.9207	10.1822	0.9481
GRIDSEARCH	2	39	0.8637	10.2666	0.9481
GRIDSEARCH	2	40	0.8326	10.3822	0.9481
GRIDSEARCH	2	41	0.4038	10.9265	0.9481
GRIDSEARCH	2	42	0.9015	10.9732	0.9481
GRIDSEARCH	2	43	0.8652	11.0561	0.9481
GRIDSEARCH	2	44	0.8556	11.1487	0.9481
GRIDSEARCH	2	45	0.5432	11.5537	0.9481
GRIDSEARCH	2	46	0.3610	12.1408	0.9481
GRIDSEARCH	2	47	0.8545	12.2344	0.9481
GRIDSEARCH	2	48	0.4048	12.7777	0.9481
GRIDSEARCH	3	1	0.3023	0.6459	0.3023
GRIDSEARCH	3	2	0.3680	1.2260	0.3680
GRIDSEARCH	3	3	0.9167	1.2574	0.9167
GRIDSEARCH	3	4	0.9256	1.2799	0.9256
GRIDSEARCH	3	5	0.4240	1.8041	0.9256
GRIDSEARCH	3	6	0.8686	1.8836	0.9256
GRIDSEARCH	3	7	0.3593	2.4725	0.9256
GRIDSEARCH	3	8	0.5902	2.8304	0.9256
GRIDSEARCH	3	9	0.3101	3.4685	0.9256
GRIDSEARCH	3	10	0.8796	3.5370	0.9256
GRIDSEARCH	3	11	0.4048	4.0803	0.9256
GRIDSEARCH	3	12	0.8545	4.1739	0.9256
GRIDSEARCH	3	13	0.8897	4.2324	0.9256
GRIDSEARCH	3	14	0.9207	4.2598	0.9256
GRIDSEARCH	3	15	0.9026	4.3053	0.9256
GRIDSEARCH	3	16	0.4608	4.7926	0.9256
GRIDSEARCH	3	17	0.3253	5.4155	0.9256
GRIDSEARCH	3	18	0.8157	5.5480	0.9256
GRIDSEARCH	3	19	0.8652	5.6310	0.9256
GRIDSEARCH	3	20	0.3963	6.1828	0.9256
GRIDSEARCH	3	21	0.8896	6.2414	0.9256
GRIDSEARCH	3	22	0.4038	6.7857	0.9256
GRIDSEARCH	3	23	0.5992	7.1347	0.9256
GRIDSEARCH	3	24	0.8637	7.2191	0.9256
GRIDSEARCH	3	25	0.3770	7.7902	0.9256
GRIDSEARCH	3	26	0.3610	8.3773	0.9256
GRIDSEARCH	3	27	0.8866	8.4389	0.9256
GRIDSEARCH	3	28	0.8556	8.5314	0.9256
GRIDSEARCH	3	29	0.8386	8.6410	0.9256
GRIDSEARCH	3	30	0.9322	8.6570	0.9322
GRIDSEARCH	3	31	0.8911	8.7140	0.9322
GRIDSEARCH	3	32	0.8727	8.7894	0.9322
GRIDSEARCH	3	33	0.2471	9.4905	0.9322
GRIDSEARCH	3	34	0.5432	9.8954	0.9322
GRIDSEARCH	3	35	0.8326	10.0110	0.9322
GRIDSEARCH	3	36	0.8126	10.1465	0.9322
GRIDSEARCH	3	37	0.9377	10.1569	0.9377
GRIDSEARCH	3	38	0.6062	10.4989	0.9377
GRIDSEARCH	3	39	0.9015	10.5455	0.9377
GRIDSEARCH	3	40	0.3778	11.1158	0.9377
GRIDSEARCH	3	41	0.8385	11.2255	0.9377
GRIDSEARCH	3	42	0.8816	11.2920	0.9377
GRIDSEARCH	3	43	0.3041	11.9361	0.9377
GRIDSEARCH	3	44	0.3411	12.5431	0.9377
GRIDSEARCH	3	45	0.9481	12.5431	0.9481
GRIDSEARCH	3	46	0.8956	12.5956	0.9481
GRIDSEARCH	3	47	0.8855	12.6582	0.9481
GRIDSEARCH	3	48	0.8287	12.7777	0.9481
GRIDSEARCH	4	1	0.8287	0.1195	0.8287
GRIDSEARCH	4	2	0.5902	0.4774	0.8287
GRIDSEARCH	4	3	0.4240	1.0015	0.8287
GRIDSEARCH	4	4	0.8545	1.0952	0.8545
GRIDSEARCH	4	5	0.8126	1.2307	0.8545
GRIDSEARCH	4	6	0.8157	1.3632	0.8545
GRIDSEARCH	4	7	0.3411	1.9702	0.8545
GRIDSEARCH	4	8	0.2471	2.6712	0.8545
GRIDSEARCH	4	9	0.8326	2.7868	0.8545
GRIDSEARCH	4	10	0.8796	2.8553	0.8796
GRIDSEARCH	4	11	0.8385	2.9650	0.8796
GRIDSEARCH	4	12	0.8727	3.0404	0.8796
GRIDSEARCH	4	13	0.9256	3.0630	0.9256
GRIDSEARCH	4	14	0.4608	3.5503	0.9256
GRIDSEARCH	4	15	0.5432	3.9552	0.9256
GRIDSEARCH	4	16	0.9207	3.9826	0.9256
GRIDSEARCH	4	17	0.8896	4.0412	0.9256
GRIDSEARCH	4	18	0.3023	4.6871	0.9256
GRIDSEARCH	4	19	0.3680	5.2672	0.9256
GRIDSEARCH	4	20	0.3041	5.9112	0.9256
GRIDSEARCH	4	21	0.8652	5.9942	0.9256
GRIDSEARCH	4	22	0.8386	6.1037	0.9256
GRIDSEARCH	4	23	0.8911	6.1607	0.9256
GRIDSEARCH	4	24	0.8855	6.2234	0.9256
GRIDSEARCH	4	25	0.3963	6.7752	0.9256
GRIDSEARCH	4	26	0.8816	6.8418	0.9256
GRIDSEARCH	4	27	0.3253	7.4647	0.9256
GRIDSEARCH	4	28	0.8956	7.5172	0.9256
GRIDSEARCH	4	29	0.6062	7.8592	0.9256
GRIDSEARCH	4	30	0.4048	8.4025	0.9256
GRIDSEARCH	4	31	0.9481	8.4025	0.9481
GRIDSEARCH	4	32	0.9377	8.4129	0.9481
GRIDSEARCH	4	33	0.3770	8.9840	0.9481
GRIDSEARCH	4	34	0.8637	9.0684	0.9481
GRIDSEARCH	4	35	0.4038	9.6128	0.9481
GRIDSEARCH	4	36	0.5992	9.9617	0.9481
GRIDSEARCH	4	37	0.9167	9.9932	0.9481
GRIDSEARCH	4	38	0.3778	10.5635	0.9481
GRIDSEARCH	4	39	0.3593	11.1523	0.9481
GRIDSEARCH	4	40	0.3610	11.7394	0.9481
GRIDSEARCH	4	41	0.8897	11.7979	0.9481
GRIDSEARCH	4	42	0.8556	11.8905	0.9481
GRIDSEARCH	4	43	0.9026	11.9360	0.9481
GRIDSEARCH	4	44	0.8866	11.9975	0.9481
GRIDSEARCH	4	45	0.9322	12.0135	0.9481
GRIDSEARCH	4	46	0.8686	12.0930	0.9481
GRIDSEARCH	4	47	0.3101	12.7311	0.9481
GRIDSEARCH	4	48	0.9015	12.7777	0.9481
MIPRO_BO	0	1	0.8126	0.1355	0.8126
MIPRO_BO	0	2	0.8385	0.2452	0.8385
MIPRO_BO	0	3	0.8816	0.3117	0.8816
MIPRO_BO	0	4	0.3411	0.9187	0.8816
MIPRO_BO	0	5	0.9481	0.9187	0.9481
MIPRO_BO	0	6	0.3770	1.4899	0.9481
MIPRO_BO	0	7	0.8637	1.5743	0.9481
MIPRO_BO	0	8	0.3253	2.1972	0.9481
MIPRO_BO	0	9	0.3778	2.7675	0.9481
MIPRO_BO	0	10	0.5902	3.1254	0.9481
MIPRO_BO	0	11	0.8157	3.2579	0.9481
MIPRO_BO	0	12	0.8866	3.3194	0.9481
MIPRO_BO	0	13	0.9322	3.3354	0.9481
MIPRO_BO	0	14	0.8556	3.4280	0.9481
MIPRO_BO	0	15	0.9026	3.4735	0.9481
MIPRO_BO	0	16	0.9377	3.4839	0.9481
MIPRO_BO	0	17	0.8545	3.5776	0.9481
MIPRO_BO	0	18	0.8897	3.6360	0.9481
MIPRO_BO	0	19	0.8386	3.7456	0.9481
MIPRO_BO	0	20	0.5992	4.0945	0.9481
MIPRO_BO	0	21	0.8911	4.1516	0.9481
MIPRO_BO	0	22	0.8652	4.2345	0.9481
MIPRO_BO	0	23	0.9167	4.2660	0.9481
MIPRO_BO	0	24	0.4608	4.7533	0.9481
MIPRO_BO	0	25	0.8855	4.8159	0.9481
MIPRO_BO	0	26	0.5432	5.2209	0.9481
MIPRO_BO	0	27	0.3041	5.8649	0.9481
MIPRO_BO	0	28	0.8956	5.9174	0.9481
MIPRO_BO	0	29	0.4240	6.4416	0.9481
MIPRO_BO	0	30	0.4048	6.9849	0.9481
MIPRO_BO	0	31	0.9207	7.0123	0.9481
MIPRO_BO	0	32	0.2471	7.7133	0.9481
MIPRO_BO	0	33	0.8287	7.8328	0.9481
MIPRO_BO	0	34	0.8686	7.9123	0.9481
MIPRO_BO	0	35	0.8326	8.0279	0.9481
MIPRO_BO	0	36	0.8896	8.0864	0.9481
MIPRO_BO	0	37	0.9015	8.1331	0.9481
MIPRO_BO	0	38	0.3101	8.7711	0.9481
MIPRO_BO	0	39	0.8727	8.8466	0.9481
MIPRO_BO	0	40	0.4038	9.3909	0.9481
MIPRO_BO	0	41	0.3610	9.9780	0.9481
MIPRO_BO	0	42	0.9256	10.0005	0.9481
MIPRO_BO	0	43	0.8796	10.0691	0.9481
MIPRO_BO	0	44	0.3680	10.6492	0.9481
MIPRO_BO	0	45	0.3593	11.2380	0.9481
MIPRO_BO	0	46	0.3023	11.8839	0.9481
MIPRO_BO	0	47	0.3963	12.4358	0.9481
MIPRO_BO	0	48	0.6062	12.7777	0.9481
MIPRO_BO	1	1	0.8956	0.0525	0.8956
MIPRO_BO	1	2	0.9015	0.0992	0.9015
MIPRO_BO	1	3	0.8816	0.1657	0.9015
MIPRO_BO	1	4	0.3411	0.7728	0.9015
MIPRO_BO	1	5	0.9481	0.7728	0.9481
MIPRO_BO	1	6	0.3770	1.3439	0.9481
MIPRO_BO	1	7	0.9207	1.3713	0.9481
MIPRO_BO	1	8	0.3253	1.9942	0.9481
MIPRO_BO	1	9	0.4608	2.4815	0.9481
MIPRO_BO	1	10	0.5432	2.8865	0.9481
MIPRO_BO	1	11	0.8287	3.0059	0.9481
MIPRO_BO	1	12	0.8896	3.0645	0.9481
MIPRO_BO	1	13	0.9322	3.0805	0.9481
MIPRO_BO	1	14	0.9167	3.1119	0.9481
MIPRO_BO	1	15	0.8855	3.1745	0.9481
MIPRO_BO	1	16	0.8796	3.2431	0.9481
MIPRO_BO	1	17	0.8556	3.3356	0.9481
MIPRO_BO	1	18	0.9026	3.3811	0.9481
MIPRO_BO	1	19	0.8897	3.4396	0.9481
MIPRO_BO	1	20	0.5992	3.7886	0.9481
MIPRO_BO	1	21	0.8911	3.8456	0.9481
MIPRO_BO	1	22	0.8652	3.9286	0.9481
MIPRO_BO	1	23	0.4048	4.4719	0.9481
MIPRO_BO	1	24	0.9256	4.4944	0.9481
MIPRO_BO	1	25	0.3778	5.0647	0.9481
MIPRO_BO	1	26	0.8326	5.1802	0.9481
MIPRO_BO	1	27	0.3023	5.8261	0.9481
MIPRO_BO	1	28	0.8126	5.9617	0.9481
MIPRO_BO	1	29	0.8727	6.0371	0.9481
MIPRO_BO	1	30	0.8386	6.1467	0.9481
MIPRO_BO	1	31	0.3680	6.7268	0.9481
MIPRO_BO	1	32	0.9377	6.7372	0.9481
MIPRO_BO	1	33	0.8637	6.8216	0.9481
MIPRO_BO	1	34	0.4240	7.3457	0.9481
MIPRO_BO	1	35	0.3101	7.9838	0.9481
MIPRO_BO	1	36	0.8686	8.0633	0.9481
MIPRO_BO	1	37	0.8385	8.1729	0.9481
MIPRO_BO	1	38	0.8157	8.3054	0.9481
MIPRO_BO	1	39	0.5902	8.6634	0.9481
MIPRO_BO	1	40	0.8545	8.7570	0.9481
MIPRO_BO	1	41	0.4038	9.3013	0.9481
MIPRO_BO	1	42	0.3963	9.8532	0.9481
MIPRO_BO	1	43	0.3610	10.4403	0.9481
MIPRO_BO	1	44	0.3593	11.0292	0.9481
MIPRO_BO	1	45	0.3041	11.6732	0.9481
MIPRO_BO	1	46	0.6062	12.0152	0.9481
MIPRO_BO	1	47	0.8866	12.0767	0.9481
MIPRO_BO	1	48	0.2471	12.7777	0.9481
MIPRO_BO	2	1	0.8956	0.0525	0.8956
MIPRO_BO	2	2	0.8385	0.1622	0.8956
MIPRO_BO	2	3	0.9026	0.2077	0.9026
MIPRO_BO	2	4	0.3101	0.8457	0.9026
MIPRO_BO	2	5	0.9481	0.8457	0.9481
MIPRO_BO	2	6	0.4240	1.3699	0.9481
