G	seed	gamma	mag	zvf_naive	delta_mag
2	42	0.0	0.0	0.6749973	-0.6749973
2	42	0.25	0.272564697265625	0.6749973	-0.40243260273437503
2	42	0.5	0.76728515625	0.6749973	0.09228785625000002
2	42	0.75	1.673052978515625	0.6749973	0.9980556785156249
2	42	1.0	3.25390625	0.6749973	2.5789089499999998
2	123	0.0	0.0	0.6249975	-0.6249975
2	123	0.25	0.2807098388671875	0.6249975	-0.3442876611328125
2	123	0.5	0.788525390625	0.6249975	0.16352789062500006
2	123	0.75	1.7155975341796874	0.6249975	1.0906000341796873
2	123	1.0	3.33046875	0.6249975	2.70547125
2	456	0.0	0.0	0.749997	-0.749997
2	456	0.25	0.2762298583984375	0.749997	-0.4737671416015625
2	456	0.5	0.777294921875	0.749997	0.02729792187500002
2	456	0.75	1.6938079833984374	0.749997	0.9438109833984374
2	456	1.0	3.2921875	0.749997	2.5421905
4	42	0.0	0.0	0.8249962249999999	-0.8249962249999999
4	42	0.25	0.28186492919921874	0.8249962249999999	-0.5431312958007812
4	42	0.5	0.7927490234375	0.8249962249999999	-0.03224720156249994
4	42	0.75	1.7268356323242187	0.8249962249999999	0.9018394073242187
4	42	1.0	3.35546875	0.8249962249999999	2.530472525
4	123	0.0	0.0	0.74999665	-0.74999665
4	123	0.25	0.2859130859375	0.74999665	-0.46408356406250006
4	123	0.5	0.8037109375	0.74999665	0.05371428749999996
4	123	0.75	1.74990234375	0.74999665	0.99990569375
4	123	1.0	3.39921875	0.74999665	2.6492221000000002
4	456	0.0	0.0	0.699996825	-0.699996825
4	456	0.25	0.28368072509765624	0.699996825	-0.4163160999023438
4	456	0.5	0.7973876953125	0.699996825	0.09739087031249993
4	456	0.75	1.7359268188476562	0.699996825	1.035929993847656
4	456	1.0	3.371484375	0.699996825	2.67148755
8	42	0.0	0.0	0.69999625	-0.69999625
8	42	0.25	0.2855628892578125	0.69999625	-0.4144333607421875
8	42	0.5	0.8032836718749999	0.69999625	0.10328742187499995
8	42	0.75	1.7499183251953123	0.69999625	1.0499220751953122
8	42	1.0	3.40039055	0.69999625	2.7003943
8	123	0.0	0.0	0.8749954000000001	-0.8749954000000001
8	123	0.25	0.28639148291015626	0.8749954000000001	-0.5886039170898438
8	123	0.5	0.8051148421875001	0.8749954000000001	-0.06988055781250002
8	123	0.75	1.7532373602539064	0.8749954000000001	0.8782419602539063
8	123	1.0	3.4062504000000002	0.8749954000000001	2.5312550000000003
8	456	0.0	0.0	0.799995875	-0.799995875
8	456	0.25	0.28609391376953125	0.799995875	-0.5139019612304687
8	456	0.5	0.8039428984375	0.799995875	0.003947023437499975
8	456	0.75	1.7499550379882813	0.799995875	0.9499591629882813
8	456	1.0	3.3986329	0.799995875	2.598637025
16	42	0.0	0.0	0.849994575	-0.849994575
16	42	0.25	0.2869144443359375	0.849994575	-0.5630801306640625
16	42	0.5	0.8070129406250001	0.849994575	-0.04298163437499991
16	42	0.75	1.7581363693359375	0.849994575	0.9081417943359376
16	42	1.0	3.416796875	0.849994575	2.5668023
16	123	0.0	0.0	0.8499945999999999	-0.8499945999999999
16	123	0.25	0.2894981421875	0.8499945999999999	-0.5604964578125
16	123	0.5	0.8141967875	0.8499945999999999	-0.035797812499999915
16	123	0.75	1.7733421546875001	0.8499945999999999	0.9233475546875002
16	123	1.0	3.4454102	0.8499945999999999	2.5954156
16	456	0.0	0.0	0.77499515	-0.77499515
16	456	0.25	0.28631401669921874	0.77499515	-0.4886811333007812
16	456	0.5	0.8052429359375001	0.77499515	0.030247785937500105
16	456	0.75	1.7539776166992187	0.77499515	0.9789824666992187
16	456	1.0	3.408105525	0.77499515	2.633110375
