G	p	zvf_analytic	zvf_mc	abs_diff	advantage_std_analytic	decisive
2	0.1	0.8200	0.8198	0.0002	0.3000	yes
2	0.3	0.5800	0.5807	0.0007	0.4583	yes
2	0.5	0.5000	0.5009	0.0009	0.5000	yes
2	0.7	0.5800	0.5790	0.0010	0.4583	yes
2	0.9	0.8200	0.8201	0.0001	0.3000	yes
4	0.1	0.6562	0.6560	0.0002	0.3000	yes
4	0.3	0.2482	0.2478	0.0004	0.4583	yes
4	0.5	0.1250	0.1248	0.0002	0.5000	yes
4	0.7	0.2482	0.2483	0.0001	0.4583	yes
4	0.9	0.6562	0.6566	0.0004	0.3000	yes
8	0.1	0.4305	0.4313	0.0008	0.3000	yes
8	0.3	0.0577	0.0584	0.0007	0.4583	yes
8	0.5	0.0078	0.0079	0.0001	0.5000	yes
8	0.7	0.0577	0.0582	0.0004	0.4583	yes
8	0.9	0.4305	0.4310	0.0006	0.3000	yes
16	0.1	0.1853	0.1850	0.0003	0.3000	yes
16	0.3	0.0033	0.0034	0.0001	0.4583	yes
16	0.5	0.0000	0.0000	0.0000	0.5000	yes
16	0.7	0.0033	0.0033	0.0000	0.4583	yes
16	0.9	0.1853	0.1856	0.0003	0.3000	yes
32	0.1	0.0343	0.0347	0.0003	0.3000	yes
32	0.3	0.0000	0.0000	0.0000	0.4583	yes
32	0.5	0.0000	0.0000	0.0000	0.5000	yes
32	0.7	0.0000	0.0000	0.0000	0.4583	yes
32	0.9	0.0343	0.0339	0.0004	0.3000	yes
