seed	acc_k1	acc_k8	ratio_k8_over_k1	headroom	exceeds_rl_gain_floor_0p10	zvf_k1	zvf_k8	zvf_delta
s42	0.670000	0.975000	1.455224	0.305000	1	1.000000	0.130000	-0.870000
s123	0.665000	0.970000	1.458647	0.305000	1	1.000000	0.190000	-0.810000
s456	0.725000	0.960000	1.324138	0.235000	1	1.000000	0.155000	-0.845000
