method	frac_mag_pre	frac_mag_post	drop_pp
grpo	0.1428	0.1278	0.0149
aero	0.4901	0.4582	0.0319
mcgrpo	0.5785	0.5471	0.0314
ngrpo	0.3835	0.3538	0.0297
cppo	0.403	0.3727	0.0303
areal	0.6771	0.6486	0.0286
gift	0.7022	0.6748	0.0274
es	0.6913	0.6634	0.0279
scafgrpo	0.5596	0.5279	0.0317
