T	acc_G32_obs	acc_G64_obs	gap_G64_vs_G32	isoG_recovers	delta_div_G2_minus_G64
1000000	0.4200	0.3500	-0.0700	no	-0.1071
4000000	0.6600	0.5800	-0.0800	no	-0.1071
