k	exact_pass_pow_k	expand_2nd	err_2nd	expand_3rd	err_3rd
1	0.67426	0.67426	0.0	0.67426	0.0
2	0.49152	0.49152	-0.0	0.49152	-0.0
3	0.37447	0.38117	-0.00671	0.37447	-0.0
4	0.29374	0.30733	-0.01359	0.28925	0.00449
5	0.23531	0.25247	-0.01715	0.22198	0.01333
6	0.19153	0.20836	-0.01683	0.16725	0.02428
7	0.15783	0.17134	-0.01351	0.12283	0.03499
8	0.13134	0.1398	-0.00845	0.08747	0.04388
9	0.11018	0.11296	-0.00278	0.06004	0.05014
10	0.09303	0.09035	0.00268	0.03937	0.05366
