metric	mean_diff	se	ci90_low	ci90_high	equiv_bound	equiv_at_2pt	equiv_at_5pt	equiv_at_10pt
heldout	-0.002	0.002	-0.006264	0.002264	0.006264	True	True	True
last10	0.060781	0.047892	-0.041316	0.162879	0.162879	False	False	False
