algo	n_seeds	r_per_seed	r_mean	r_median
grpo	5	[-0.571, -0.4546, -0.5782, -0.6213, -0.5399]	-0.553	-0.571
ppo	5	[-0.4626, -0.3289, -0.2195, -0.5627, -0.6495]	-0.4446	-0.4626
