cell_id	G	T	acc_emp	acc_pred	resid	zvf_theory_G	richness_proxy_1_minus_zvf
0	4	1000000	0.4100	0.3320	-0.0540	0.5538	0.4462
1	8	1000000	0.4800	0.3940	-0.0660	0.3264	0.6736
2	16	1000000	0.4700	0.4500	-0.0160	0.1140	0.8860
3	32	1000000	0.4200	0.5020	0.0660	nan	nan
4	64	1000000	0.3500	0.5480	0.1580	nan	nan
5	4	4000000	0.5500	0.5550	0.0050	0.5538	0.4462
6	8	4000000	0.6700	0.5970	-0.0870	0.3264	0.6736
7	16	4000000	0.6900	0.6340	-0.0720	0.1140	0.8860
8	32	4000000	0.6600	0.6680	0.0100	nan	nan
9	64	4000000	0.5800	0.6990	0.1450	nan	nan
10	4	20000000	0.6300	0.7040	0.0970	0.5538	0.4462
11	8	20000000	0.7800	0.7310	-0.0870	0.3264	0.6736
12	16	20000000	0.8200	0.7560	-0.1320	0.1140	0.8860
13	32	20000000	0.8400	0.7790	-0.1400	nan	nan
14	64	20000000	0.8000	0.7990	-0.0010	nan	nan
15	4	60000000	0.6400	0.8030	0.2610	0.5538	0.4462
16	8	60000000	0.8000	0.8210	0.0480	0.3264	0.6736
17	16	60000000	0.8500	0.8380	-0.0340	0.1140	0.8860
18	32	60000000	0.8800	0.8530	-0.0890	nan	nan
19	64	60000000	0.8700	0.8660	-0.0120	nan	nan
