anchor_a	anchor_b	tier_a	tier_b	mean_reward_a	mean_reward_b	R_max_2p_a	R_max_2p_b	R_max_gap	ci_a_width	ci_b_width	p_hat_a	p_hat_b	ci_a_lo	ci_a_hi	ci_b_lo	ci_b_hi	ci_straddle	same_tier
Llama-3.1-8B-Instruct	DeepSeek-V3.1	L1_Easy	L1_Easy	0.8688	0.8438	0.8688	0.8438	0.025000000000000022	0.14479434501215505	0.2336038372078969	0.8275727098756963	0.8265228722132327	0.7517786463428557	0.8965729913550108	0.7004434194313136	0.9340472566392105	True	True
Llama-3.1-8B-Instruct	Qwen3.5-4B	L1_Easy	L2_Medium	0.8688	0.8167	0.8688	0.8167	0.052100000000000035	0.14479434501215505	0.20541925602758437	0.8275727098756963	0.7666446863081823	0.7517786463428557	0.8965729913550108	0.6573349340129911	0.8627541900405755	True	False
Llama-3.1-8B-Instruct	Qwen3-8B	L1_Easy	L3_Hard	0.8688	0.2854	0.8688	0.2854	0.5834	0.14479434501215505	0.24678227322050555	0.8275727098756963	0.41578237320972555	0.7517786463428557	0.8965729913550108	0.29455346556679535	0.5413357387873009	False	False
Llama-3.1-8B-Instruct	Nemotron-120B	L1_Easy	L4_Expert	0.8688	0.175	0.8688	0.182	0.6938	0.14479434501215505	0.29835187493031745	0.8275727098756963	0.21860433348927208	0.7517786463428557	0.8965729913550108	0.0811498038337379	0.3795016787640554	False	False
DeepSeek-V3.1	Qwen3.5-4B	L1_Easy	L2_Medium	0.8438	0.8167	0.8438	0.8167	0.027100000000000013	0.2336038372078969	0.20541925602758437	0.8265228722132327	0.7666446863081823	0.7004434194313136	0.9340472566392105	0.6573349340129911	0.8627541900405755	True	False
DeepSeek-V3.1	Qwen3-8B	L1_Easy	L3_Hard	0.8438	0.2854	0.8438	0.2854	0.5584	0.2336038372078969	0.24678227322050555	0.8265228722132327	0.41578237320972555	0.7004434194313136	0.9340472566392105	0.29455346556679535	0.5413357387873009	False	False
DeepSeek-V3.1	Nemotron-120B	L1_Easy	L4_Expert	0.8438	0.175	0.8438	0.182	0.6688000000000001	0.2336038372078969	0.29835187493031745	0.8265228722132327	0.21860433348927208	0.7004434194313136	0.9340472566392105	0.0811498038337379	0.3795016787640554	False	False
Qwen3.5-4B	Qwen3-8B	L2_Medium	L3_Hard	0.8167	0.2854	0.8167	0.2854	0.5313	0.20541925602758437	0.24678227322050555	0.7666446863081823	0.41578237320972555	0.6573349340129911	0.8627541900405755	0.29455346556679535	0.5413357387873009	False	False
Qwen3.5-4B	Nemotron-120B	L2_Medium	L4_Expert	0.8167	0.175	0.8167	0.182	0.6416999999999999	0.20541925602758437	0.29835187493031745	0.7666446863081823	0.21860433348927208	0.6573349340129911	0.8627541900405755	0.0811498038337379	0.3795016787640554	False	False
Qwen3-8B	Nemotron-120B	L3_Hard	L4_Expert	0.2854	0.175	0.2854	0.182	0.1104	0.24678227322050555	0.29835187493031745	0.41578237320972555	0.21860433348927208	0.29455346556679535	0.5413357387873009	0.0811498038337379	0.3795016787640554	True	False
