G	seed	w	zvf_naive	tree_adv_proxy	delta_zvf
2	42	1	0.6749973	0.0	-0.6749973
2	42	2	0.6749973	0.02890625	-0.64609105
2	42	5	0.6749973	0.055924479166666666	-0.6190728208333334
2	42	10	0.6749973	0.09266431051587301	-0.582332989484127
2	42	20	0.6749973	0.15371245852624651	-0.5212848414737535
2	123	1	0.6249975	0.0	-0.6249975
2	123	2	0.6249975	0.029296875	-0.595700625
2	123	5	0.6249975	0.05432291666666665	-0.5706745833333333
2	123	10	0.6249975	0.08266307043650793	-0.5423344295634921
2	123	20	0.6249975	0.1328051507061158	-0.4921923492938842
2	456	1	0.749997	0.0	-0.749997
2	456	2	0.749997	0.029296875	-0.720700125
2	456	5	0.749997	0.054661458333333336	-0.6953355416666667
2	456	10	0.749997	0.08410590277777777	-0.6658910972222223
2	456	20	0.749997	0.13800619849599144	-0.6119908015040085
4	42	1	0.8249962249999999	0.0	-0.8249962249999999
4	42	2	0.8249962249999999	0.0240234375	-0.8009727874999999
4	42	5	0.8249962249999999	0.05312500000000001	-0.7718712249999999
4	42	10	0.8249962249999999	0.08506587921626985	-0.7399303457837301
4	42	20	0.8249962249999999	0.13184271927883456	-0.6931535057211653
4	123	1	0.74999665	0.0	-0.74999665
4	123	2	0.74999665	0.0271484375	-0.7228482125000001
4	123	5	0.74999665	0.05125	-0.69874665
4	123	10	0.74999665	0.08334976438492063	-0.6666468856150795
4	123	20	0.74999665	0.12980647152863797	-0.620190178471362
4	456	1	0.699996825	0.0	-0.699996825
4	456	2	0.699996825	0.0244140625	-0.6755827625
4	456	5	0.699996825	0.04915364583333335	-0.6508431791666667
4	456	10	0.699996825	0.08121326264880953	-0.6187835623511905
4	456	20	0.699996825	0.12975415630631623	-0.5702426686936838
8	42	1	0.69999625	0.0	-0.69999625
8	42	2	0.69999625	0.021875037500000003	-0.6781212125
8	42	5	0.69999625	0.053974691249999984	-0.64602155875
8	42	10	0.69999625	0.08803701055555554	-0.6119592394444444
8	42	20	0.69999625	0.13727024549456035	-0.5627260045054396
8	123	1	0.8749954000000001	0.0	-0.8749954000000001
8	123	2	0.8749954000000001	0.02080081249999999	-0.8541945875000001
8	123	5	0.8749954000000001	0.045817137916666674	-0.8291782620833335
8	123	10	0.8749954000000001	0.0796919523015873	-0.7953034476984128
8	123	20	0.8749954000000001	0.12569244693063977	-0.7493029530693603
8	456	1	0.799995875	0.0	-0.799995875
8	456	2	0.799995875	0.02021485	-0.779781025
8	456	5	0.799995875	0.04789389833333333	-0.7521019766666667
8	456	10	0.799995875	0.07807058463293651	-0.7219252903670635
8	456	20	0.799995875	0.120749383005058	-0.679246491994942
16	42	1	0.849994575	0.0	-0.849994575
16	42	2	0.849994575	0.0187012	-0.831293375
16	42	5	0.849994575	0.04732431333333335	-0.8026702616666667
16	42	10	0.849994575	0.08077863864087301	-0.769215936359127
16	42	20	0.849994575	0.13448467434214842	-0.7155099006578516
16	123	1	0.8499945999999999	0.0	-0.8499945999999999
16	123	2	0.8499945999999999	0.0183594125	-0.8316351875
16	123	5	0.8499945999999999	0.04633146458333333	-0.8036631354166666
16	123	10	0.8499945999999999	0.08192207786706349	-0.7680725221329364
16	123	20	0.8499945999999999	0.12979983487699984	-0.7201947651230001
16	456	1	0.77499515	0.0	-0.77499515
16	456	2	0.77499515	0.020361337500000003	-0.7546338125
16	456	5	0.77499515	0.05028160083333333	-0.7247135491666666
16	456	10	0.77499515	0.08604555291666667	-0.6889495970833333
16	456	20	0.77499515	0.13216058127244787	-0.6428345687275521
