group_size	seed	slope_M	slope_entropy	both_signs
2	42	0.0187	-0.0269	1
2	123	0.0200	-0.0261	1
2	456	0.0191	-0.0257	1
4	42	0.0163	-0.0233	1
4	123	0.0157	-0.0237	1
4	456	0.0178	-0.0241	1
8	42	0.0150	-0.0223	1
8	123	0.0163	-0.0222	1
8	456	0.0170	-0.0244	1
16	42	0.0173	-0.0235	1
16	123	0.0156	-0.0228	1
16	456	0.0163	-0.0241	1
