G	R_C_3window_mean	R_C_late_only	R_C_per_rollout_3window	league_throughput_class
4	0.0383	0.0050	0.00958	high
8	0.0533	0.0100	0.00666	high
16	0.0633	0.0150	0.00396	mid
32	0.0767	0.0200	0.00240	low (saturated)
64	0.0867	0.0350	0.00135	low (saturated)
