G	seed	t_mem_step	train_final_reward
2	42	15	1.0
2	123	15	1.0
2	456	16	0.9688
4	42	14	0.9844
4	123	15	1.0
4	456	14	1.0
8	42	14	1.0
8	123	15	0.9922
8	456	14	0.9688
16	42	14	1.0
16	123	15	1.0
16	456	14	0.9922
