G	seed	conv_entry	grad_death	saved_rew	retain_rew	saved_grad	retain_grad	retain_fixed
2	42	14	18	0.6250	0.9892	0.5250	0.9991	0.9971
2	123	9	20	0.7500	0.9708	0.4750	1.0016	1.0003
2	456	7	16	0.8000	0.9459	0.5750	0.9891	0.9988
4	42	13	26	0.6500	0.9946	0.3250	1.0058	0.9992
4	123	9	16	0.7500	0.9817	0.5750	0.9952	0.9994
4	456	11	24	0.7000	0.9863	0.3750	1.0098	1.0078
8	42	12	20	0.6750	0.9989	0.4750	1.0036	1.0023
8	123	8	25	0.7750	0.9744	0.3500	0.9971	0.9973
8	456	11	25	0.7000	0.9916	0.3500	1.0094	1.0080
16	42	12	21	0.6750	0.9892	0.4500	1.0007	1.0007
16	123	8	25	0.7750	0.9751	0.3500	0.9996	0.9979
16	456	8	21	0.7750	0.9807	0.4500	1.0058	1.0058
