method	seed	step	group_size	zvf	frac_all_zero	frac_all_one	pcd	larq	reward_mean	mean_len	cv_len	lag1_autocorr	loss
grpo	0	0	8	0.6875	0.0	0.6875	0.0390625	0.890625	0.8125	362.734375	0.2898895394273167	nan	255.60173988342285
grpo	0	1	8	0.5	0.0	0.5	0.0908203125	1.001953125	0.8203125	365.4765625	0.29494014293485704	nan	728.9965972900391
grpo	0	2	8	0.6875	0.0625	0.625	0.052734375	0.93359375	0.828125	384.4140625	0.24018250563682608	1.0	326.47558975219727
grpo	0	3	8	0.75	0.125	0.625	0.037109375	0.87109375	0.796875	396.390625	0.21838244756197794	-0.7205766921228921	365.0207405090332
grpo	0	4	8	0.6875	0.0625	0.625	0.0576171875	0.919921875	0.8046875	383.140625	0.26119191532400365	0.0	395.5065002441406
grpo	0	5	8	0.6875	0.125	0.5625	0.056640625	0.80078125	0.6875	403.6328125	0.2616370889688577	0.3452254816016825	272.36656188964844
grpo	0	6	8	0.8125	0.125	0.6875	0.033203125	0.86328125	0.796875	383.4375	0.21757961336700402	0.0	266.29698944091797
grpo	0	7	8	0.6875	0.125	0.5625	0.0478515625	0.806640625	0.7109375	393.4765625	0.2504818870830707	-0.021994655068469312	323.7460174560547
grpo	0	8	8	0.5625	0.0	0.5625	0.0732421875	0.873046875	0.7265625	380.6328125	0.30024405967457474	0.16488062210827578	107.00993871688843
grpo	0	9	8	0.6875	0.0	0.6875	0.0517578125	0.986328125	0.8828125	370.984375	0.2688201262930932	-0.08274659603084264	152.54156494140625
grpo	0	10	8	0.6875	0.0	0.6875	0.0517578125	0.986328125	0.8828125	383.8203125	0.2360076008032891	0.1843984299943021	514.7406425476074
grpo	0	11	8	0.6875	0.1875	0.5	0.056640625	0.83203125	0.71875	374.5234375	0.3007490081463924	-0.028792406521717346	564.7206802368164
grpo	0	12	8	0.8125	0.0	0.8125	0.0380859375	1.021484375	0.9453125	336.0546875	0.25314452314634545	-0.22640039949486648	253.3422622680664
grpo	0	13	8	0.5625	0.125	0.4375	0.0693359375	0.880859375	0.7421875	397.484375	0.263565202861289	-0.29303810756239623	395.5438346862793
grpo	0	14	8	0.75	0.0625	0.6875	0.041015625	0.95703125	0.875	344.453125	0.29005360387377055	-0.337972108860654	167.89579391479492
grpo	0	15	8	0.75	0.0	0.75	0.0517578125	0.955078125	0.8515625	358.2890625	0.26161421337077795	-0.3304398195472976	269.4199867248535
grpo	0	16	8	0.625	0.125	0.5	0.07421875	0.8828125	0.734375	370.875	0.3085572924027524	-0.41676362538693024	862.682918548584
