task	algo	seed	n	n_obs	phi_LL	phi_LR	phi_RL	phi_RR	rho	cumul_impulse_L_to_R	cumul_impulse_R_to_L	cumul_diag_self_L	cumul_diag_self_R	fevd_R_from_L_h1	fevd_R_from_L_h4	fevd_R_from_L_h8	fevd_L_from_R_h1	fevd_L_from_R_h4	fevd_L_from_R_h8	cumul_fevd_R_from_L	cumul_fevd_L_from_R	Sigma_LL	Sigma_RR	Sigma_LR
arithmetic_easy	grpo	42	40	39	0.27362557845923574	-1.2577196076164132	-0.03656367233439374	0.5560043321791853	0.6715663677000128	-0.13222782960217863	-4.548381586025379	1.605653364678355	2.626839896180954	0.06138014049638109	0.09215498012854358	0.09481931933223732	0.054358770067292686	0.10849526652121846	0.11368364476401745	0.09481931933223732	0.11368364476401745	0.029209720779759505	0.0011835327366126016	-0.0007930151743612518
arithmetic_easy	grpo	123	40	39	0.34857418019499625	-0.9094342500105632	-0.06560972473258075	0.42505622841361396	0.6340602380876004	-0.20837382137310553	-2.8883262463709354	1.8259980703840508	2.0689019496292795	0.2722275470722865	0.32933270120552743	0.3328048565950009	0.03262193854439988	0.05775080343724826	0.059411139496133504	0.3328048565950009	0.059411139496133504	0.04551925056188871	0.0026618982923876356	-0.0045184207915547545
arithmetic_easy	grpo	456	40	39	-0.023056295815763628	-2.643195595934292	-0.033646466842441644	0.5945975715219309	0.7150820259340354	-0.10326852488388777	-8.112557893520417	1.2442706382611057	3.1399883689660384	0.12172766588147894	0.1420573858144822	0.14439247846002945	0.15770016222989275	0.2245440045313077	0.23343019296676695	0.14439247846002945	0.23343019296676695	0.04333608120563949	0.0012430733102726703	-0.0017814529028524183
arithmetic_easy	grpo	789	40	39	-0.05974299316674958	-2.7815350497000244	-0.04947671111292693	0.5673665272878362	0.7395460501471751	-0.15420074853200502	-8.669023811077201	1.3483597399986895	3.3028299400273764	0.13531508331434994	0.15351833747911864	0.15623521442737323	0.31247429098904506	0.3907203559380476	0.4035760655214492	0.15623521442737323	0.4035760655214492	0.017795112911178874	0.0011448095553992853	-0.0012082846288881308
arithmetic_easy	grpo	1024	40	39	0.18900122054629023	-1.9632501046263986	-0.04858298567520693	0.5191892280560533	0.7042902867816837	-0.16493610761827027	-6.665107671706735	1.6323216064886823	2.7532886278441593	0.12316030851640627	0.16449615948584168	0.16873759832930071	0.11243480526417922	0.18352574984593542	0.19147990592280245	0.16873759832930071	0.19147990592280245	0.03272535522748793	0.0012015804440021266	-0.0012797817448608297
arithmetic_easy	dr_grpo	42	40	39	0.48180766481494036	-0.5055528455266208	-0.05585349438911166	0.5685989906185339	0.6987546935416908	-0.2859709111676164	-2.588439800586815	2.208781045497079	2.6531542184374923	0.046234783931595164	0.08386832281852064	0.09144293653149545	0.010591588432985691	0.03163449666816708	0.035298572408763544	0.09144293653149545	0.035298572408763544	0.03040922835732875	0.0016149705310751147	0.0015181849904425107
arithmetic_easy	dr_grpo	123	40	39	0.49198018708373936	-0.7774160386475286	-0.03407632282090152	0.6058420314498031	0.7213425733320922	-0.1961243269023258	-4.474373543887719	2.2685536429910584	2.923878975583997	0.26618044559037823	0.33558403246804835	0.346481007776882	0.013542200043324555	0.04143951647016823	0.04720947204350684	0.346481007776882	0.04720947204350684	0.05371207294606693	0.0019967084507501974	-0.004610833616016482
arithmetic_easy	dr_grpo	456	40	39	0.3551484788971823	-1.0197535739656658	-0.03799627313563502	0.6069401977703298	0.7147034976892432	-0.1769586462001639	-4.7492608357292525	1.8305829687552628	3.003243285653992	0.1683081856250379	0.22913570038319492	0.23676042735178052	0.026557604455032524	0.06663289796548856	0.07284950780284152	0.23676042735178052	0.07284950780284152	0.06950443613011423	0.002360126627243007	-0.003957236723850227
arithmetic_easy	dr_grpo	789	40	39	0.08473357712130164	-1.935992378712851	-0.13013403182484035	0.35716553696939984	0.7410392483590081	-0.3868128907775677	-5.754580858151139	1.9107734806142205	2.7205554604031987	0.2718834004276633	0.3096532741519225	0.3171349601326467	0.13289698848209788	0.16782104958070046	0.1749407877718635	0.3171349601326467	0.1749407877718635	0.03248473730161201	0.00134055164624344	-0.000143322076076711
arithmetic_easy	dr_grpo	1024	40	39	0.0459001086580475	-2.0090365149044853	-0.016358536337778548	0.6720736223008988	0.7207716276377868	-0.058421335934837476	-7.174883786609525	1.1711253793048813	3.407382489272844	0.0948352077092016	0.10744007187947141	0.108847530154571	0.09725573270548345	0.16914759720414643	0.17884207637198776	0.108847530154571	0.17884207637198776	0.027924505661468108	0.0008145484681167338	-0.0012451112113874294
gsm8k_cot	grpo	42	30	29	0.7777270511361607	27.755129453086273	-0.0008161277630776911	-0.11398956969933641	0.7515566024133752	-0.0030197709565731924	102.69731972147167	4.121895493197784	0.8224366646708529	0.19479766496510548	0.19611091084952598	0.19633638450238025	0.09378895574161258	0.12844681728128193	0.1334374609165676	0.19633638450238025	0.1334374609165676	58.14689381999288	0.013142093350350994	-0.3878194603239952
gsm8k_cot	grpo	123	30	29	0.6412891247735445	23.491566044724546	0.002855716348768452	-0.12908648693919503	0.720272510389177	0.008450606243999887	69.51599894873917	3.3411810387467518	1.0614935069747489	0.11041649581548568	0.11484875822650788	0.1158046317010364	0.1394812623208879	0.16621445454711153	0.1699649736665402	0.1158046317010364	0.1699649736665402	19.193069211825666	0.007720150577238275	-0.11115687827573685
gsm8k_cot	grpo	456	30	29	0.004677646844973925	11.271667860946268	0.004957472972619222	0.09183247335907928	0.2886255652043743	0.005845797765151766	13.291427135353493	1.070901188356045	1.1736732040326459	0.6168126812775874	0.6161881614975119	0.6161878624588557	0.029186823321990095	0.029538822348953157	0.029539483992701808	0.6161878624588557	0.029539483992701808	20.797827476423905	0.013322819782152807	-0.4121115670534224
gsm8k_cot	dr_grpo	42	30	29	0.5941202650258924	15.024576463111007	-0.006739779443988111	-0.2332696562563893	0.44477580818448315	-0.011198967674374836	24.965170971824755	2.049228335880101	0.6744188099082956	0.2693121853224175	0.2763744015894229	0.2764273388728417	0.05559686198437498	0.06179602751211494	0.06184582557632231	0.2764273388728417	0.06184582557632231	25.356466639089188	0.010492389303886617	-0.2560434060096699
gsm8k_cot	dr_grpo	123	30	29	0.5315131177136766	35.55455630129997	-0.0019555389874871417	-0.11126632683893563	0.39387059284414044	-0.003313675231108477	60.24745777125255	1.8830489834124522	0.7938544758579661	0.41084474601937016	0.4099217069274055	0.409918157957059	0.26573703419866307	0.3042882228842625	0.3044260601429451	0.409918157957059	0.3044260601429451	16.56907518426899	0.008095659160066234	-0.2355571625187966
gsm8k_cot	dr_grpo	456	30	29	-0.4451702183780563	-7.11449560897191	0.01045282403627021	0.26745144126267495	0.3181863096547941	0.009225598636898551	-6.2792103612003505	0.6465428827175141	1.275498406028111	0.5490925395143375	0.5511740868746656	0.5511759331992883	0.014560131237432942	0.01495694268751674	0.01495761577574289	0.5511759331992883	0.01495761577574289	17.432929997777	0.01235161032802697	-0.3440524837281668
