task	algo	seed	n_steps	ols_dL_dR	ols_resid	theil_sen_dL_dR	spearman_L_R	lag1_dL_autocorr	early_half_mean_len	late_half_mean_len	len_late_minus_early	spearman_L_Z
arithmetic_easy_qwen2.5-0.5b	grpo	42	40	-3.6068	0.2093	-2.4113	-0.2386	0.1451	5.0041	4.552	-0.4522	-0.2614
arithmetic_easy_qwen2.5-0.5b	grpo	123	40	-3.7596	0.2418	-2.3333	-0.3507	-0.0148	4.9746	4.5258	-0.4488	-0.3189
arithmetic_easy_qwen2.5-0.5b	grpo	456	40	-3.6898	0.2186	-2.1399	-0.3124	-0.3696	4.896	4.4926	-0.4034	-0.3831
arithmetic_easy_qwen2.5-0.5b	grpo	789	40	-3.6422	0.1699	-3.0	-0.4811	0.0841	4.9684	4.5254	-0.443	-0.5259
arithmetic_easy_qwen2.5-0.5b	grpo	1024	40	-3.5539	0.1944	-3.5	-0.5992	-0.1676	5.0888	4.5115	-0.5773	-0.6675
arithmetic_easy_qwen2.5-0.5b	dr_grpo	42	40	-3.2275	0.2826	-0.4692	-0.1099	0.1811	4.8871	4.5461	-0.341	-0.0947
arithmetic_easy_qwen2.5-0.5b	dr_grpo	123	40	-3.0635	0.2235	-0.8	-0.103	-0.0286	4.8531	4.5062	-0.3469	-0.057
arithmetic_easy_qwen2.5-0.5b	dr_grpo	456	40	-3.3871	0.2814	-1.1479	-0.3169	-0.276	4.8984	4.5279	-0.3705	-0.3478
arithmetic_easy_qwen2.5-0.5b	dr_grpo	789	40	-3.0713	0.2339	-2.5	-0.4505	-0.2769	5.02	4.5163	-0.5036	-0.461
arithmetic_easy_qwen2.5-0.5b	dr_grpo	1024	40	-3.3532	0.1833	-2.9333	-0.4893	0.0367	5.0152	4.5068	-0.5084	-0.5
gsm8k_cot_hard_qwen2.5-1.5b	grpo	42	30	-34.828	9.1989	-31.8487	-0.5186	-0.6536	190.2833	182.3562	-7.9271	0.2418
gsm8k_cot_hard_qwen2.5-1.5b	grpo	123	30	-11.2915	5.1445	-17.0	-0.2739	-0.5917	190.2354	189.0385	-1.1969	0.1626
gsm8k_cot_hard_qwen2.5-1.5b	grpo	456	30	-31.2373	2.9615	-29.2583	-0.7504	-0.5738	195.1935	189.5496	-5.6439	0.3459
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	42	30	-30.2516	4.6669	-36.1667	-0.6	-0.4641	193.7635	187.5281	-6.2354	0.1172
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	123	30	-31.1267	3.7089	-29.2381	-0.491	-0.6404	192.6451	188.002	-4.6431	0.1555
gsm8k_cot_hard_qwen2.5-1.5b	dr_grpo	456	30	-29.207	2.7859	-29.3333	-0.7628	-0.6596	195.3158	190.7432	-4.5727	0.2249
