model	params_B	n_steps	mean_reward	var_reward	peak	trough	early_mean	late_mean	delta_late_minus_early	ols_slope_per_step	ols_slope_se	slope_direction	R_max	lambda	t_80	rmse	r2	lam_at_bound	r0	r_inf	lambda_growth	phase	trace_file
Qwen3.5-4B	4.0	30	0.8167	0.0463	1.0000	0.2500	0.8125	0.8500	0.0375	0.00008	0.00470	increase	0.8167	10.0000	0.1609	0.2153	-0.0000	True	1.1161	0.7993	0.4744	plateau	scale_gsm8k_qwen3.5-4b.json
Qwen3-8B	8.0	30	0.2854	0.0288	0.6250	0.0000	0.2437	0.3438	0.1000	0.00318	0.00366	increase	0.2854	10.0000	0.1609	0.1698	-0.0000	True	0.2365	1.5000	0.0026	saturation	scale_gsm8k_qwen3-8b.json
Llama-3.1-8B-Instruct	8.0	30	0.8688	0.0267	1.0000	0.3750	0.9250	0.8438	-0.0813	-0.00374	0.00349	decrease	0.8688	10.0000	0.1609	0.1633	-0.0000	True	1.0189	0.8274	0.1417	drift	scale_gsm8k_llama-8b-inst.json
DeepSeek-V3.1	685.0	20	0.8438	0.0186	1.0000	0.5000	0.8333	0.8125	-0.0208	0.00009	0.00557	increase	0.8438	10.0000	0.1609	0.1362	-0.0000	True	0.9550	0.8384	0.7349	plateau	frontier_gsm8k_deepseek-v3.1.json
Nemotron-120B	120.0	20	0.1750	0.0600	0.8750	0.0000	0.1458	0.2083	0.0625	0.00263	0.00999	increase	0.1820	0.9902	1.6253	0.2433	0.0137	False	0.1479	1.5000	0.0019	collapse	frontier_gsm8k_nemotron-120b.json
