task	algo	seed	a	L_star	b	R_max_fit	R2	n_pts	L_first	L_last
arithmetic_easy	grpo	42	-0.0108763945	-5.711825	1.758692	2.113534	0.909932	40	7.9531	4.6875
arithmetic_easy	grpo	123	-0.0034587656	-27.630946	1.901721	4.542382	0.870103	40	7.875	4.5
arithmetic_easy	grpo	456	-0.0330986796	1.991456	1.043973	1.175239	0.891715	40	7.3438	4.375
arithmetic_easy	grpo	789	-0.0027025566	-41.457143	2.04845	6.693319	0.927397	40	7.4531	4.4297
arithmetic_easy	grpo	1024	-0.0437037383	2.620942	0.84379	1.144005	0.930203	40	7.375	4.5
arithmetic_easy	dr_grpo	42	-0.0095666227	-7.501727	1.793589	2.331959	0.818787	40	7.7266	4.6875
arithmetic_easy	dr_grpo	123	-0.1281491183	4.296305	-1.400563	0.964844	0.924208	40	6.8047	4.5
arithmetic_easy	dr_grpo	456	-0.0329724453	2.040685	1.011289	1.148599	0.811694	40	7.3438	4.4062
arithmetic_easy	dr_grpo	789	-0.0124437989	-5.545231	1.844664	2.227306	0.851027	40	7.2891	4.4375
arithmetic_easy	dr_grpo	1024	-0.0042691625	-26.164401	2.074887	4.997452	0.911052	40	7.5	4.5
gsm8k_cot	grpo	42	-0.0002198237	168.717709	-5.892711	0.364716	0.238553	30	195.8906	166.8281
gsm8k_cot	grpo	123	-0.0003845323	183.471513	-12.646148	0.297901	0.057067	30	189.8438	176.375
gsm8k_cot	grpo	456	-0.0005813998	173.428021	-17.00918	0.477744	0.607678	30	196.125	191.9219
gsm8k_cot	dr_grpo	42	-0.0006138211	180.886929	-19.736358	0.347917	0.349577	30	195.6406	180.5938
gsm8k_cot	dr_grpo	123	2.98095e-05	378.237685	3.47065	-0.794013	0.350984	30	189.2188	180.6406
gsm8k_cot	dr_grpo	456	0.0005393276	209.606811	23.783514	0.08815	0.589605	30	196.125	191.75
